sub	ses	age	gender	handedness
A00081729	BAS1	69	M	R
A00081729	FLU1	70	M	R
A00081727	BAS1	17	F	R
A00081727	FLU1	18	F	R
A00081727	FLU2	19	F	R
A00081727	TRT	17	F	R
A00081725	BAS1	56	F	R
A00081725	FLU1	57	F	R
A00081724	BAS1	52	F	R
A00081724	FLU1	53	F	R
A00081721	BAS1	58	M	R
A00081721	FLU1	59	M	R
A00081719	BAS1	68	F	R
A00081719	FLU1	69	F	R
A00081616	BAS1	58	M	R
A00081616	FLU1	59	M	R
A00081552	BAS1	53	F	R
A00081552	FLU1	54	F	R
A00081544	BAS1	54	M	R
A00081543	BAS1	55	F	R
A00081519	BAS1	9	F	R
A00081519	TRT	9	F	R
A00081518	BAS1	11	F	R
A00081518	FLU1	12	F	R
A00081518	TRT	11	F	R
A00081517	BAS1	44	F	R
A00081517	FLU1	45	F	R
A00081479	BAS1	52	F	R
A00081479	FLU1	53	F	R
A00081476	BAS1	12	F	R
A00081476	FLU1	13	F	R
A00081476	TRT	12	F	R
A00081402	BAS1	68	M	R
A00081402	FLU1	69	M	R
A00081394	BAS1	8	M	R
A00081392	BAS1	15	F	R
A00081385	BAS1	6	F	R
A00081385	FLU1	7	F	R
A00081385	FLU2	8	F	R
A00081385	TRT	7	F	R
A00081253	BAS1	51	M	L
A00081253	FLU1	52	M	L
A00081243	BAS1	65	F	R
A00081243	FLU1	66	F	R
A00081239	BAS1	38	F	R
A00081185	BAS1	42	M	R
A00081185	FLU1	43	M	R
A00081175	BAS1	56	F	R
A00081175	FLU1	57	F	R
A00081175	FLU2	58	F	R
A00081149	BAS1	43	M	R
A00081149	FLU1	44	M	R
A00081142	BAS1	38	M	R
A00081142	FLU1	39	M	R
A00081142	FLU2	40	M	R
A00081132	BAS1	70	F	R
A00081126	BAS1	10	M	R
A00081126	FLU1	11	M	R
A00081126	TRT	10	M	R
A00081123	BAS1	47	F	R
A00081123	FLU1	48	F	R
A00081114	BAS1	71	M	R
A00081114	FLU1	72	M	R
A00081112	BAS1	33	F	R
A00081105	BAS1	56	F	R
A00081105	FLU1	57	F	R
A00081103	BAS1	60	M	R
A00081103	FLU1	60	M	R
A00081098	BAS1	71	M	R
A00081098	FLU1	72	M	R
A00081098	FLU2	73	M	R
A00081090	BAS1	8	F	R
A00081090	FLU1	9	F	R
A00081090	FLU2	10	F	R
A00081090	TRT	10	F	R
A00081079	BAS1	9	M	R
A00081079	FLU1	10	M	R
A00081071	BAS1	46	M	R
A00081071	FLU1	47	M	R
A00081071	FLU2	48	M	R
A00081065	BAS1	11	M	R
A00081065	FLU1	12	M	R
A00081065	FLU2	13	M	R
A00081065	TRT	11	M	R
A00081064	BAS1	8	M	R
A00081064	FLU1	9	M	R
A00081064	FLU2	10	M	R
A00081064	TRT	9	M	R
A00080942	BAS1	39	F	R
A00080932	BAS1	46	M	R
A00080932	FLU1	47	M	R
A00080932	FLU2	48	M	R
A00080901	BAS1	69	F	R
A00080901	FLU1	70	F	R
A00080901	FLU2	71	F	R
