participant_id,session,age,gender,handedness
A00050847,FLU1,12,M,R
A00050847,FLU2,13,M,R
A00050848,BAS1,16,M,R
A00050848,FLU1,18,M,R
A00050848,FLU2,19,M,R
A00050848,TRT,16,M,R
A00051063,BAS1,18,M,R
A00051064,BAS1,19,F,L
A00051477,BAS1,21,M,R
A00051514,BAS1,21,F,R
A00051603,BAS1,18,M,R
A00051638,BAS1,18,F,R
A00051658,BAS1,18,F,R
A00051690,BAS1,15,F,R
A00051691,BAS1,6,M,
A00051691,FLU1,8,M,
A00051691,FLU2,9,M,
A00051691,TRT,6,M,
A00051726,BAS1,18,M,R
A00051727,BAS1,15,F,R
A00051727,TRT,15,F,R
A00051758,BAS1,15,F,R
A00052069,BAS1,10,M,R
A00052069,FLU1,11,M,R
A00052069,TRT,10,M,R
A00052126,BAS1,24,M,L
A00052165,BAS1,8,F,R
A00052165,TRT,8,F,R
A00052182,BAS1,12,M,R
A00052182,FLU1,13,M,R
A00052182,FLU2,14,M,R
A00052182,TRT,14,M,R
A00052183,BAS1,16,M,R
A00052183,FLU1,18,M,R
A00052183,FLU2,19,M,R
A00052183,TRT,16,M,R
A00052197,BAS1,18,M,R
A00052237,BAS1,17,F,R
A00052237,FLU1,19,F,R
A00052237,FLU2,20,F,R
A00052237,TRT,20,F,R
A00052307,BAS1,22,M,R
A00052461,BAS1,14,M,R
A00052461,FLU1,15,M,R
A00052461,FLU2,16,M,R
A00052461,TRT,14,M,R
A00052502,BAS1,18,M,R
A00052613,BAS1,14,M,R
A00052614,BAS1,17,F,R
A00053171,BAS1,8,M,R
A00053171,FLU1,10,M,R
A00053171,FLU2,11,M,R
A00053203,BAS1,10,M,R
A00053203,FLU1,12,M,R
A00053203,TRT,10,M,R
A00053320,BAS1,8,M,R
A00053320,FLU1,10,M,R
A00053320,FLU2,11,M,R
A00053320,TRT,8,M,R
A00053390,BAS1,14,F,R
A00053390,TRT,14,F,R
A00053474,BAS1,20,M,R
A00053490,BAS1,12,M,R
A00053490,TRT,12,M,R
A00053546,BAS1,18,M,R
A00053576,BAS1,20,F,R
A00053577,BAS1,23,F,R
A00053578,BAS1,21,F,R
A00053744,BAS1,17,M,R
A00053744,TRT,17,M,R
A00053850,BAS1,25,F,L
A00053873,BAS1,6,M,L
A00053873,FLU1,8,M,L
A00053873,FLU2,9,M,L
A00053873,TRT,6,M,L
A00054173,BAS1,20,F,L
A00054206,BAS1,14,M,R
A00054206,FLU1,15,M,R
A00054206,FLU2,17,M,R
A00054206,TRT,14,M,R
A00054504,BAS1,25,F,R
A00054532,BAS1,22,F,R
A00054533,BAS1,21,F,R
A00054534,BAS1,21,F,R
A00054578,BAS1,9,M,
A00054578,TRT,9,M,
A00054581,BAS1,10,M,R
A00054581,FLU1,12,M,R
A00054581,FLU2,13,M,R
A00054581,TRT,10,M,R
A00055076,BAS1,10,F,R
A00055076,FLU1,11,F,R
A00055076,TRT,10,F,R
A00055116,BAS1,15,F,R
A00055122,BAS1,15,M,R
A00055122,FLU1,16,M,R
A00055122,FLU2,18,M,R
A00055122,TRT,15,M,R
A00055215,BAS1,22,F,R
A00055262,BAS1,9,M,R
A00055262,FLU1,11,M,R
A00055262,FLU2,12,M,R
A00055262,TRT,12,M,R
A00055267,BAS1,13,M,R
A00055267,FLU1,14,M,R
A00055267,FLU2,16,M,R
A00055267,TRT,13,M,R
A00055332,BAS1,15,M,R
A00055462,BAS1,15,M,R
