sub,ses
A00075432,BAS1
A00052577,BAS2
A00074977,BAS1
A00066232,BAS1
A00062809,BAS1
A00043617,BAS1
A00086748,BAS1
A00059756,BAS1
A00044291,BAS1
A00083631,BAS1
A00083967,BAS1
A00062282,BAS1
A00062361,BAS1
A00053203,BAS1
A00039943,FLU2
A00079850,BAS1
A00081963,BAS1
A00081734,BAS1
A00035840,BAS2
A00073975,BAS1
A00051658,BAS1
A00058998,BAS1
A00037457,BAS2
A00081105,BAS1
A00037267,BAS2
A00052639,BAS1
A00059935,BAS1
A00077453,BAS1
A00053455,BAS1
A00083142,BAS1
A00055727,BAS1
A00061203,BAS1
A00063000,BAS1
A00082529,BAS1
A00060259,BAS1
A00051835,BAS1
A00061656,BAS1
A00043462,BAS1
A00065302,BAS1
A00053320,BAS1
A00034193,BAS2
A00034854,BAS2
A00079977,BAS1
A00065722,BAS1
A00051796,BAS1
A00080327,BAS1
A00053850,BAS1
A00077304,BAS1
A00052070,BAS1
A00062983,BAS1
A00082216,BAS1
A00085795,BAS1
A00058537,BAS1
A00075721,BAS1
A00043677,BAS1
A00053627,BAS1
A00077144,BAS1
A00035940,FLU1
A00060264,BAS1
A00053546,BAS1
A00061728,BAS1
A00085095,BAS1
A00056138,BAS1
A00039951,BAS2
A00081476,BAS1
A00059664,BAS1
A00073283,BAS1
A00074709,BAS1
A00073611,BAS1
A00050720,BAS1
A00052500,BAS1
A00063008,BAS1
A00060429,BAS1
A00066580,BAS1
A00081777,BAS1
A00054578,BAS1
A00074794,BAS1
A00065617,BAS1
A00037522,BAS2
A00058318,BAS1
A00074609,BAS1
A00074975,BAS1
A00052180,BAS1
A00082807,BAS1
A00056949,BAS1
A00085052,BAS1
A00073600,BAS1
A00066396,BAS1
A00058552,BAS1
A00079353,BAS1
A00065478,BAS1
A00058951,BAS1
A00061730,BAS1
A00053874,BAS1
A00066800,BAS1
A00074985,BAS1
A00056097,BAS1
A00074768,BAS1
A00063481,BAS1
A00053390,BAS1
A00066237,BAS1
A00060632,BAS1
A00058685,BAS1
A00033747,BAS2
A00076798,BAS1
A00066419,BAS1
A00064415,BAS1
A00053577,BAS1
A00074808,BAS1
A00060582,BAS1
A00060582,BAS1
A00081394,BAS1
A00063368,BAS1
A00062928,BAS1
A00051514,BAS1
A00084119,BAS1
A00082672,BAS1
A00043384,BAS1
A00056898,BAS1
A00035364,FLU1
A00060407,BAS1
A00065480,BAS1
A00064416,BAS1
A00051925,BAS1
A00061210,BAS1
A00055352,BAS1
A00056830,FLU2
A00052126,BAS1
A00067174,BAS1
A00061881,BAS1
A00060280,BAS1
A00053744,BAS1
A00077188,BAS1
A00037511,BAS2
A00075806,BAS1
A00077182,BAS1
A00079302,BAS1
A00060302,BAS1
A00082532,BAS1
A00060480,BAS1
A00062368,BAS1
A00031219,BAS2
A00082666,BAS1
A00056746,BAS1
A00074956,BAS1
A00061597,BAS1
A00083138,BAS1
A00072203,BAS1
A00074639,BAS1
A00031452,BAS2
A00074618,BAS1
A00061725,BAS1
A00062009,BAS1
A00080932,BAS1
A00059109,BAS1
A00061598,BAS1
A00076863,BAS1
A00061204,BAS1
A00059845,BAS1
A00066013,BAS1
A00051548,BAS1
A00085298,BAS1
A00066831,BAS1
A00065743,BAS1
A00057406,BAS1
A00062917,BAS1
A00084956,BAS1
A00044410,BAS1
A00085290,BAS1
A00065991,BAS1
A00064596,BAS1
A00045554,BAS1
A00043521,BAS1
A00044084,BAS1
A00065717,BAS1
A00059074,BAS1
A00074795,BAS1
A00078823,BAS1
A00058061,BAS1
A00060662,BAS1
A00056453,BAS1
A00051604,BAS1
A00085406,BAS1
A00038414,BAS2
A00060581,BAS1
A00030989,BAS2
A00063479,BAS1
A00074969,BAS1
A00060100,BAS1
A00052499,BAS1
A00075407,BAS1
A00077391,BAS1
A00080052,BAS1
A00051529,BAS1
A00040311,BAS2
A00074989,BAS1
A00035291,FLU1
A00077252,BAS1
A00054173,BAS1
A00061281,BAS1
A00082528,BAS1
A00052197,BAS1
A00083950,BAS1
A00077556,BAS1
A00082804,BAS1
A00035072,BAS2
A00081185,BAS1
A00077395,BAS1
A00076746,FLU1
A00075964,BAS1
A00078238,BAS1
A00079777,BAS1
A00060372,BAS1
A00063425,BAS1
A00063031,BAS1
A00074427,BAS1
A00077201,BAS1
A00060185,BAS1
A00057405,BAS1
A00074787,BAS1
A00050848,BAS1
A00066784,FLU1
A00081098,BAS1
A00044307,BAS1
A00044345,BAS1
A00082215,BAS1
A00085057,BAS1
A00052234,BAS1
A00059327,BAS1
A00054504,BAS1
A00065992,FLU1
A00077413,BAS1
A00054206,BAS1
A00043299,BAS1
A00066582,BAS1
A00083744,BAS1
A00081780,BAS1
A00077758,BAS1
A00079292,BAS1
A00074439,BAS1
A00060630,BAS1
A00075269,BAS1
A00075267,BAS1
A00043466,BAS1
A00050679,BAS1
A00081938,BAS1
A00083162,BAS1
A00061298,BAS1
A00062942,BAS1
A00080901,BAS1
A00060006,BAS1
A00059346,BAS1
A00077181,BAS1
A00073529,BAS1
A00073529,BAS1
A00062797,BAS1
A00085066,BAS1
A00044370,BAS1
A00053456,BAS1
A00080819,BAS1
A00075653,BAS1
A00082665,FLU1
A00083208,BAS1
A00060923,BAS1
A00066302,BAS1
A00080447,BAS1
A00061709,BAS1
A00059428,BAS1
A00077204,BAS1
A00075746,BAS1
A00051679,BAS1
A00081243,BAS1
A00060005,BAS1
A00081725,BAS1
A00074800,BAS1
A00066827,BAS1
A00064580,BAS1
A00055728,BAS1
A00057444,BAS1
A00066822,BAS1
A00040285,BAS2
A00040628,BAS2
A00031881,FLU1
A00065865,BAS1
A00066246,BAS1
A00061263,BAS1
A00065487,BAS1
A00057480,BAS1
A00079710,BAS1
A00059527,BAS1
A00057809,BAS1
A00052117,BAS1
A00054358,BAS1
A00054482,BAS1
A00083389,BAS1
A00076546,BAS1
A00039846,BAS2
A00053927,BAS1
A00058130,BAS1
A00077184,BAS1
A00037126,BAS2
A00066782,BAS1
A00060846,BAS1
A00060846,BAS1
A00077095,BAS1
A00041540,BAS1
A00039560,BAS2
A00077755,BAS1
A00066573,BAS1
A00061806,BAS1
A00058667,BAS1
A00081090,FLU2
A00040383,BAS2
A00081962,BAS1
A00057005,BAS1
A00064053,BAS1
A00055921,FLU1
A00054857,BAS1
A00063326,BAS1
A00058952,BAS1
A00079931,BAS1
A00066820,BAS1
A00077412,BAS1
A00076559,BAS1
A00050743,BAS1
A00052613,BAS1
A00044369,BAS1
A00084921,BAS1
A00056605,BAS1
A00074802,BAS1
A00076600,BAS1
A00077099,BAS1
A00075412,BAS1
A00054929,BAS1
A00062934,BAS1
A00060472,BAS1
A00081724,BAS1
A00053901,BAS1
A00077574,BAS1
A00067062,BAS1
A00081103,BAS1
A00058503,BAS1
A00085391,BAS1
A00052214,BAS1
A00060093,BAS1
A00073705,BAS1
A00066584,BAS1
A00060628,BAS1
A00061276,BAS1
A00056098,BAS2
A00082217,BAS1
A00074688,BAS1
A00080811,BAS1
A00065250,BAS1
A00073940,FLU1
A00055765,BAS1
A00062351,BAS1
A00051023,BAS1
A00062210,BAS1
A00061790,BAS1
A00065995,BAS1
A00081616,BAS1
A00061882,BAS1
A00060602,BAS1
A00052183,BAS1
A00062369,BAS1
A00063458,BAS1
A00052125,BAS1
A00044154,BAS1
A00081854,BAS1
A00074784,BAS1
A00083109,BAS1
A00080535,BAS1
A00061962,BAS1
A00058999,BAS1
A00064058,BAS1
A00037229,BAS2
A00051691,FLU1
A00085665,BAS1
A00082563,BAS1
A00051477,BAS1
A00077528,BAS1
A00077397,FLU1
A00053576,BAS1
A00081142,BAS1
A00066282,BAS1
