bblid,sub
83923,788680707
83937,2134697000
83940,1997003188
83943,4061662651
83946,2046389277
83954,63044123
83959,1540104602
83961,4220575617
83964,1886502439
83972,4250731906
83978,783400869
83983,3912237251
83987,987544292
83990,4026391232
83993,1793199823
83999,1088695522
84002,3131141015
84024,1144886286
84032,3373346731
84035,3139098119
84038,452826508
84041,315009040
84044,2569521590
84047,952142397
84050,3991005721
84053,1761492502
84059,1123556411
84064,1766163334
84067,3366109197
84069,826824711
84085,4277831883
84093,1943417710
84096,4164375240
84098,3704603980
84103,1560828340
84107,2397365139
84115,3492078097
84118,1908646298
84127,2122754467
84133,783818120
84136,2774105134
84139,79576997
84148,3748247582
84151,172546106
84153,4087496752
84156,2017665430
84159,3651428893
84163,2148664332
84165,2397876645
84166,200500650
84168,789312046
84171,4197093898
84174,1909191596
84179,700852269
84182,397217601
84195,3866425569
84203,308228517
84205,480347148
84211,1751623587
84219,3146456452
84222,2663921552
84230,3840975254
84233,1643083161
84238,3472262075
84258,334290435
84267,480892474
84279,1720795196
84282,1492805456
84285,720477948
84288,2333531511
84291,1580711251
84308,1824489396
84313,1081378714
84320,3067811753
84321,3392035756
84323,868533158
84326,3089474048
84329,432202123
84332,3437461935
84338,521091976
84343,4007566878
84352,301587479
84354,520579518
84356,3874353588
84361,3881192484
84363,515691566
84365,272785799
84371,1686389288
84376,378518404
84382,2298732387
84385,4211615439
84391,2412643680
84394,70214854
84404,3367117335
84407,1767203228
84412,1168021938
84418,2524062613
84421,3006335361
84426,3241865261
84429,1625142182
84432,3053245314
84437,451224992
84440,316545084
84446,471903637
84449,3183996446
84451,3992541749
84454,1712864147
84465,1767715754
84467,3025091620
84473,3832645647
84476,1871767977
84485,2182575330
84487,1594194796
84496,2228924129
84499,624815466
84501,201599904
84503,4126061482
84508,1526154632
84511,2413176236
84515,2025981967
84521,4234568080
84525,192039987
84530,54600601
84535,2292204095
84541,561789992
84553,1531226670
84560,2917874205
84563,687140370
84566,2736099252
84569,49466431
84575,2782418359
84588,1822908280
84591,3112583004
84594,845635322
84606,2952161855
84612,3677374864
84615,2839261244
84621,765450659
84624,2793322501
84642,1973047316
84645,126986680
84653,2327646749
84659,2696622128
84664,2332471181
84667,719449094
84670,4290808866
84673,2061457453
84685,481928384
84688,3177113419
84695,2674633420
84703,1799381896
84712,2489786753
84714,2593756200
84717,998168483
84720,507379127
84724,3911831572
84732,1678076849
84735,370053661
84743,1178104832
84746,3453556134
84749,1816024621
84758,1794346030
84761,1336976954
84764,3293693852
84766,1035689878
84769,2623282205
84774,1199819152
84778,2593244702
84781,2767905138
84789,1997953877
84794,2898890456
84800,104510023
84803,2200266312
84809,2837660773
84814,1929155048
84816,2333477346
84818,2951650918
84821,2326639730
84824,21812692
84829,1497435733
84832,2355129969
84837,595171411
84848,21268450
84851,3563448262
84854,1602520672
84876,1443648602
84882,3380621501
84885,3146500369
84891,3477990078
84897,3846949011
84917,2622274162
84920,3104804966
84923,1007699049
84942,2650756564
84948,1309929459
84951,2603782103
84957,2973019642
84967,3263490502
84970,396724706
84973,2461687277
84981,63474851
84989,3492034180
84997,2854002818
85005,2733440164
85011,3593133835
85014,1573633709
85020,3647985458
85028,4083807519
85031,642291003
85034,2913596573
85037,206485270
85040,74812042
85043,2171231877
85051,4216506499
85054,1890822437
85057,3512003246
85063,1896354997
85066,4209603859
85069,1527658136
85075,4230262544
85080,526223346
85083,2588038141
85086,295907931
85088,895198687
85091,3766142459
85093,428891633
85101,3466899233
85112,3362354466
85115,3127020686
85121,1053222161
85124,3039265975
85127,348178236
85133,1157526295
85139,1861767482
85157,1242076296
85159,3017936002
85162,2527143574
85165,3836403514
85170,3969495184
85173,1770415263
85178,3332346557
85181,4176786897
85184,1930810487
85189,722997238
85192,4265177042
85198,768988661
85212,2268994867
85215,4113949855
85230,2394345225
85236,2152233632
85242,697566391
85244,661303582
85247,2257449621
85253,3602073278
85258,2041229468
85264,3607690030
85270,2748242049
85275,674216231
85278,2311649964
85281,3080969664
85283,1313424842
85286,3316130924
85289,1682925543
85292,2976778179
85306,570525359
85309,2212939044
85311,3554177295
85319,3459880
85322,628613436
85337,163322130
85343,2224615553
85363,1962588849
85369,1593612444
85370,1916231858
85379,3710817936
85384,3988456533
85392,1620557808
85394,1852377689
85397,3482208722
85400,1440768299
85406,1528747138
85412,802748205
85421,3648481054
85427,4084286771
85433,2739925272
85436,682528958
85447,778770571
85450,4215961775
85458,3511442050
85461,4094652566
85464,2146308400
85472,4072843925
85474,4231798588
85475,2160677689
85476,97945398
85478,556667058
85480,1672510427
85481,524629982
85483,3870273492
85490,3764549079
85494,393631860
85499,1333494773
85512,1620025148
85518,3009619227
85521,2518683407
85530,1762086150
85533,3961035017
85544,3235590929
85547,1631350938
85550,3021803710
85568,3987437231
85576,1250029351
85579,3949374636
85582,3574434752
85585,2802217580
85588,115421671
85591,3552596419
85594,1478570085
85603,1313957126
85605,1085264047
85610,1218232069
85618,1654299944
85621,1205450556
85627,1843369233
85629,2486504731
85632,1091857727
85640,3862341249
85649,1227837603
85652,2618175623
85670,2508645053
85673,278476466
85676,2608355092
85679,983504031
85684,168461914
85687,2884486609
85692,2267430399
85701,4176254237
85706,2330422449
85712,4263595806
85715,2351609522
85724,2205138571
85732,239273262
85740,2841759376
85743,746461855
85751,1447464089
85757,2084613812
85765,3538085126
85768,1929750157
85770,3671165612
85780,2991178728
85788,2555371973
85797,1734910924
85803,3915581655
85806,1652713841
85812,373574366
85817,3109928188
85820,2619250408
85822,1710493410
85850,3268855132
85853,1204359507
85862,1217141098
85865,981983430
85870,850693996
85876,1011497669
85881,651790893
85890,3657353252
85899,1994866182
85902,3670092995
85913,635858634
85916,2919698284
85922,715351795
85936,1583695196
85942,4156111691
85948,609583468
85951,4050968904
85960,4264683889
85968,3560426332
85974,2331495134
85980,360427065
85983,2422503990
85993,330724410
86002,1848489641
86008,3183545486
86011,1759538346
86017,1122389639
86023,3803885724
86029,3367801521
86034,325273404
86037,2994996407
86052,3230117677
86061,908607262
86064,3184090808
86070,3373235479
86076,3354511550
86090,574962271
86096,750489590
86111,4089189004
86126,4060589852
86142,3624525575
86152,1541132555
86155,701507751
86158,2285333292
86160,3514895677
86162,678139191
86164,647307422
86167,2272420629
86171,782651188
86188,281897048
86193,1007063158
86196,3085431248
86199,369144411
86201,1060730001
86212,972336786
86218,3927446709
86240,1857302300
86243,3953916691
86246,1615502005
86249,3249396030
86252,344766746
86257,3147124536
86265,355927178
86267,3357870852
86270,486828832
86273,2551955247
86284,2189955015
86287,594496588
86295,2108640718
86303,388650152
86314,3874726664
86329,3444456629
86332,409951377
86350,1017092387
86356,845229194
86360,1328536863
86366,1104242870
86375,1193063093
86377,2584657211
86383,561663576
86386,2862297086
86389,192703605
86401,2548014735
86402,314591872
86406,3855902499
86426,364260627
86435,326891280
86437,3463051422
86440,3327313154
86444,826730657
86447,2426514218
86457,326346022
86460,909152050
86463,3006225213
86470,3051520318
86473,821908785
86475,1040441496
86481,2710537343
86483,1483021429
86486,3548675539
86495,3578374096
86498,1957618779
86506,2860715826
86514,3501955380
86517,1901910719
86529,4211476105
86537,2168361103
86542,1894724889
86548,2734919486
86559,2781762877
86568,1398916366
86574,228705420
86576,4098579590
86579,1437343501
86581,4007193710
86583,389182564
86594,3874194372
86600,1971585704
86626,2333670705
86633,2200670875
86654,742012559
86657,2380100868
86659,1949822222
86667,4268568888
86669,126331186
86678,21656369
86681,1059148893
86686,1294642673
86690,3221624404
86698,3925881977
86707,1814037649
86715,853542163
86717,4025617053
86722,861649027
86729,1705563819
86735,3263319843
86740,397114673
86746,425052312
86749,3098708755
86752,1838410551
86755,530059931
86761,2604432132
86764,282925730
86769,1221640483
86786,41797088
86792,1992025679
86801,2923635580
86804,631390938
86811,764489072
86813,3564877178
86820,584328521
86827,1948732257
86830,2701536069
86833,605683530
86839,236969319
86844,148526418
86847,2839353049
86853,4177765106
86856,1927463764
86858,1444566224
86860,262943425
86868,631902444
86877,3666694885
86880,3840308617
86883,1643749766
86894,2418038310
86902,1678483298
86912,3889795438
86914,3911656647
86921,292946269
86924,2593612027
86932,398187358
86946,3194463561
86955,3098181450
86962,3104948954
86970,3274265820
86972,985910486
86974,876444031
86984,1554329659
86990,677581716
86999,2272978358
87004,4055142976
87012,2090346981
87021,2318907862
87028,3703887870
87031,166049754
87033,4027527120
87039,3658026493
87042,3526504545
87045,2688141773
87048,31361606
87053,756380264
87056,2801013710
87062,575699537
87064,749654008
87070,1483271255
87072,2709681245
87074,2944188916
87078,1919864442
87083,3052368156
87102,1679186383
87105,371040355
87108,3086672872
87113,2603686854
87122,2490635263
87125,3867142739
87135,1705895007
87138,3293226964
87141,3429997128
87144,1200684014
87147,3866605669
87152,3401334859
87160,1088855165
87163,3321448562
87166,1310206420
87175,1221981143
87180,2880232245
87186,2773642908
87189,78982423
87195,2745152671
87201,2925454801
87209,2108841974
87215,3667445374
87222,3676535790
87225,2838004290
87236,2951043137
87245,1949491194
87257,720559736
87272,1971937898
87275,126000070
87277,3666908232
87282,487664430
87285,1864028802
87288,3472724233
87297,836424448
87300,55710183
87305,2293461057
87310,2155880427
87313,94358500
87319,798616009
87325,2026977905
87328,3644226042
87333,4127031764
87336,2115821682
87339,3757810681
87344,3644730316
87346,550810566
87357,4211828299
87375,3598394357
87381,1240942354
87390,3067086107
87395,1026647229
87406,1957951075
87413,2088802761
87416,4150392943
87418,3550048235
87424,2101027929
87427,3705432018
87430,167577590
87433,2363675641
87436,117682783
87445,3704894948
87446,1506533867
87449,4163674720
87457,2182362214
87459,2080287852
87467,4054085722
87470,612700286
87476,712746455
87484,3137959065
87495,1143879312
87498,3855185179
87501,1240426462
87510,3066570199
87516,3090583678
87519,433181685
87522,1016265185
87528,4018029510
87530,1185574887
87538,1823231434
87548,845422206
87554,1822695420
87557,3443743863
87563,1830789740
87566,3875455946
87569,1192853569
87581,2143255854
87584,4099808392
87590,2157461287
87598,2862488842
87601,2551635949
87604,335003211
87607,2987457984
87610,1731304932
87622,3983229394
87628,1049099253
87631,3953564625
87640,3382412384
87646,3345297865
87652,3013808742
87655,3249073098
87659,3847257166
87670,3123429468
87679,355612286
87682,727257362
87696,1604268733
87699,4269306166
87702,1381917683
87705,542480991
87708,2175982036
87716,647512156
87718,39901144
87723,3737740742
87726,1428685920
87735,1407573603
87737,2398605805
87748,2898972252
87751,2045488760
87756,199251924
87761,173795908
87764,2176486370
87772,211169351
87775,2124270059
87783,419116294
87789,855447339
87792,3889985295
87795,2513931939
87801,1059369532
87804,3032863642
87810,3221483573
87819,1863976471
87825,944952751
87837,1720898605
87842,2537779643
87845,3846735895
87857,3146287509
87862,1730231179
87864,1776258594
87872,3841144199
87875,2532887595
87878,924815264
87884,2190854506
87890,4132694725
87896,4172111724
87902,4117499426
87905,2271737742
87925,1996864958
87930,2134299156
87933,4196992539
87936,1908959165
87939,3492750390
87945,2854215686
87947,1997401992
87952,1539708838
87955,701361674
87965,1518185014
87970,1380894108
87981,1176748253
87987,1814422256
87990,3104080596
87996,3086628733
88008,1189147473
88013,1781205887
88023,429608771
88028,3062020449
88031,1671682373
88046,1331721053
88049,4001837270
88052,1000755442
88055,1236117854
88058,3897223893
88064,1189650791
88067,3876578028
88075,3117409134
88078,405315813
88086,1414037029
88092,546200970
88094,779151395
88101,2337268575
88109,1487100280
88120,131655018
88123,2194092389
88131,4177504099
88135,267094720
88137,3539567950
88142,589832408
88143,1608346845
88149,1977306864
88150,1494267614
88154,2919537533
88157,266590454
88162,3544869608
88163,2948540141
88166,610158411
88168,10932431
88176,2810988871
88179,107678412
88181,3172989359
88184,922654729
88187,2535054210
88190,1111014310
88205,856467181
88209,401879401
88215,2967382241
88218,289008490
88229,3885398873
88241,3915422918
88244,1652686176
88254,3780375404
88257,1085583591
88260,1710725875
88283,195168692
88286,2151901202
88291,1905958834
88294,4202429972
88296,59860510
88302,2432624498
88305,3807715038
88317,3157598044
88322,1620880706
88328,3010467685
88334,3987740391
88342,3179737338
88345,3482126678
88357,2437744852
88369,454546658
88373,2999187651
88381,598813069
88384,2823833643
88387,162991008
88389,4032664490
88395,1467419170
88396,3530087981
88402,3923883359
88405,2615823603
88412,1781775187
88425,1804076739
88428,3396289864
88431,525215084
88434,2494514378
88437,893912897
88448,393550064
88451,3260315860
88461,2984525032
88467,2615287493
88469,1644725967
88472,3072976619
88478,1690655948
88484,3511622150
88486,681935372
88493,546762150
88499,177262475
88505,3569165538
88523,706861947
88529,2619734
88538,116007765
88541,248585929
88547,618085604
88554,115503459
88560,2185631996
88563,123325683
88568,2822781649
88576,258646873
88583,3960703931
88586,1743972893
88589,3323308438
88591,2519408061
88593,1874953655
88596,3827360785
88599,1170712474
88605,88382673
88608,2762202970
88611,1904394110
88618,661770582
88621,36895554
88624,2312346340
88629,3521003877
88649,214179037
88657,1996262107
88661,793439434
88666,1564546406
88672,696727241
88677,2258551019
88683,1038758792
88686,3054195246
88693,3191356804
88699,2487099305
88702,941100396
88728,462880123
88731,3468139871
88737,3836854130
88746,3799267143
88752,2528253160
88755,3837390148
88760,485017822
88763,2583108817
88770,2671429330
88773,438637277
88776,2445570939
88782,239605660
88791,142986655
88794,2204412985
88797,579071922
88800,697798822
88803,2894611625
88806,661202191
88812,1403979424
88815,564461324
88830,1512559770
88833,3744989333
88839,4114490040
88841,2015021867
88844,4093356685
88853,35806509
88859,673480448
88864,60416189
88867,2726208310
88869,1536441148
88872,2394250008
88875,4240351924
88878,1566171455
88881,1664271955
88889,2967370868
88895,401925628
88902,2670354621
88907,808687263
88910,3843225275
88913,1611473588
88918,3474248854
88924,1639358244
88929,968574117
88932,3969524865
88935,2660359469
88947,491487511
88955,1133215893
88974,3474753184
88983,3582932552
88986,1584289774
88992,715682881
88995,1487113709
88998,4182036070
89000,3526124253
89005,1506607995
89011,755704020
89013,3571562718
89015,3659468151
89021,1589339368
89035,712853319
89044,138434806
89053,4187598678
89058,1451252084
89063,2318003050
89066,29919948
89069,2687486279
89075,117788879
89083,1633922082
89086,3934440836
89089,1264946703
89095,3964606343
89098,1302877196
89104,3194237272
89115,1094939473
89118,3768856794
89124,1309047656
89127,4024514787
89132,3274358989
89135,2971744609
89143,3776438140
89146,1794555610
89158,3453757266
89161,3902737734
89164,1669229792
89167,3264819051
89170,397954895
89175,2623090409
89181,64309774
89184,2285120424
89186,1910420386
89189,3493457961
89200,103249130
89201,2060597487
89204,4046674249
89211,4177540835
89214,1927370565
89226,4173040499
89234,2189630837
89248,22626639
89260,3678218578
89263,1579351389
89266,3586366715
89274,2952465149
89279,4160147836
89284,3345171385
89288,443632695
89294,1152470453
89297,3847622206
89300,3621702873
89306,3642784112
89309,2026322683
89314,2736320374
89317,50310397
89320,666666729
89334,1400546630
89344,229832434
89347,2891298169
89350,2037699933
89364,4258315458
89367,1547173705
89369,2782750531
89374,2114106062
89377,3756388677
89383,1687224870
89398,1213921800
89410,756257016
89427,139508460
89441,4283221369
89451,2090781557
89460,1943782220
89463,4140046147
89467,623422820
89478,3658477421
89484,1871030695
89490,457411080
89493,2656853511
89496,364724129
89499,3025828906
89502,410808047
89505,1786222403
89508,3415266504
89511,514962668
89514,2505102666
89517,884446913
89522,3894289631
89525,2585124211
89534,1697816442
89554,3089679042
89557,433029449
89561,1081730904
89567,1786758517
89579,273109875
89582,774665247
89587,2167767613
89592,2919135763
89606,1049754495
89614,1151954297
89615,945561980
89618,2579194615
89627,2533255886
89632,3124073184
89638,1775839431
89641,1642206555
89647,1273247606
89650,2663733074
89653,467305309
89664,442580685
89667,3146153286
89672,2538440040
89683,2199945257
89701,63793858
89707,701188335
89710,4243204299
89713,2046164164
89716,4061437282
89719,1408491241
89722,1991308541
89725,79367505
89731,1887252222
89743,3613386048
89746,1555989734
89749,4250519405
89752,678995785
89755,1517510373
89758,4220788078
89771,1560623478
89780,1231567927
89786,1201047966
89789,3866216981
89801,3953684226
89813,2442197252
89816,443652258
89821,466232626
89823,3793796408
89826,1774312606
89834,335104664
89845,834950441
89850,972503683
89853,3169382028
89856,923373354
89861,917648058
89869,3848177821
89872,813689017
89878,3818082974
89881,3724047858
89887,4160640991
89892,3677728753
89898,148444630
89906,3606380223
89921,1419595043
89941,2307330203
89944,40268093
89946,4220315959
89947,2743153334
89953,4089415325
89963,2148516513
89965,2398189320
89968,789984387
89973,64867501
89976,2285677835
89984,424574021
89991,293409775
89994,2593944137
90000,4141240203
90003,1942592388
90008,3704647078
90016,2080044078
90018,1593992106
90021,2051099070
90027,1346857875
90030,2238057399
90033,7987128
90042,574930953
90045,1347369381
90047,2371696171
90050,1484543503
90060,734794291
90063,2933114428
90066,624076698
90068,30027806
90071,3572191290
90077,4276974103
90080,3230029179
90088,3934287702
90091,1067521906
90094,3024123604
90107,997810053
90113,1799875502
90116,3769010696
90134,3912128562
90137,1221139385
90140,1089611301
90158,3911584260
90161,3429179408
90163,898611226
90172,3400071699
90175,3097691071
90181,657418072
90187,220808565
90189,4106476927
90192,568507739
90195,1407796471
90201,1579685305
90206,740551701
90211,3724155829
90217,4160502168
90220,3535737740
90226,3695289893
90228,4172886433
90233,3564292495
90236,1603512361
90241,1934623281
90251,4035054653
90256,2190079377
90262,103652366
90281,1752698697
90301,2412883338
90310,1895231363
90316,2114476586
90322,4205589429
90325,2292697625
90331,4234275254
90334,2004912144
90340,3730634247
90343,1531126280
90358,2005457446
90367,2026754591
90369,2166835733
90376,2735867794
90384,845207260
90387,2475136343
90395,3444020437
90398,1822480222
90401,4140760999
