sub,CBF,SCRUB,BASIL,PVGM,PVWM
2933325835,7.983305328,8.696900545,11.17218491,12.47843091,12.47843091
1000881804,7.555985914,8.538485169,11.18978513,11.86193865,11.86193865
2933490015,6.495639342,7.70005889,12.59911019,12.91839737,12.91839737
1001970838,5.767438699,6.744768381,11.70586281,13.02065144,13.02065144
2933854864,7.614237852,8.478121725,12.69447618,12.58070779,12.58070779
100527940,7.654038036,9.203191119,12.22985535,12.873318,12.873318
2934644075,7.623161724,8.358784906,10.81366323,11.98751277,11.98751277
1006151876,7.100657268,7.561152915,11.08934386,12.28570686,12.28570686
2935256495,7.523491657,8.850824878,11.63385982,12.36983004,12.36983004
1007995238,7.236613051,8.077807578,11.68799406,12.42970385,12.42970385
2939120682,8.193512229,8.672199082,10.9597267,12.96313541,12.96313541
1011497669,6.735347867,7.582634002,11.52884952,12.48865694,12.48865694
2939479952,6.19306273,6.658986251,10.24741658,11.62737834,11.62737834
1012530688,5.331320762,5.868841152,12.77304147,13.40276714,13.40276714
2943493898,7.179422096,8.07851817,12.02864044,12.80446372,12.80446372
1017092387,6.636528885,7.06433958,11.21145832,12.24366757,12.24366757
2944925114,8.331580891,8.865228768,11.39350823,12.20202948,12.20202948
1020132225,7.320570303,8.442795743,11.74533176,12.81913064,12.81913064
2947976933,5.965240662,6.564349529,11.54972107,11.48720526,11.48720526
1023701836,7.344027073,8.496526486,10.67037773,12.27042254,12.27042254
1000393599,6.230096652,7.282776573,11.30478048,11.83430094,11.83430094
2933325835,7.983305328,8.696900545,11.17218491,12.47843091,12.47843091
1000881804,7.555985914,8.538485169,11.18978513,11.86193865,11.86193865
2933490015,6.495639342,7.70005889,12.59911019,12.91839737,12.91839737
1001970838,5.767438699,6.744768381,11.70586281,13.02065144,13.02065144
2933854864,7.614237852,8.478121725,12.69447618,12.58070779,12.58070779
100527940,7.654038036,9.203191119,12.22985535,12.873318,12.873318
2934644075,7.623161724,8.358784906,10.81366323,11.98751277,11.98751277
1006151876,7.100657268,7.561152915,11.08934386,12.28570686,12.28570686
2935256495,7.523491657,8.850824878,11.63385982,12.36983004,12.36983004
1007995238,7.236613051,8.077807578,11.68799406,12.42970385,12.42970385
2939120682,8.193512229,8.672199082,10.9597267,12.96313541,12.96313541
1011497669,6.735347867,7.582634002,11.52884952,12.48865694,12.48865694
2939479952,6.19306273,6.658986251,10.24741658,11.62737834,11.62737834
1012530688,5.331320762,5.868841152,12.77304147,13.40276714,13.40276714
2943493898,7.179422096,8.07851817,12.02864044,12.80446372,12.80446372
1017092387,6.636528885,7.06433958,11.21145832,12.24366757,12.24366757
2944925114,8.331580891,8.865228768,11.39350823,12.20202948,12.20202948
1020132225,7.320570303,8.442795743,11.74533176,12.81913064,12.81913064
2947976933,5.965240662,6.564349529,11.54972107,11.48720526,11.48720526
1023701836,7.344027073,8.496526486,10.67037773,12.27042254,12.27042254
2951167051,5.772387695,6.479474509,11.26045339,11.96004136,11.96004136
1025031408,7.637810034,8.865094719,11.72677354,12.79664758,12.79664758
2967555571,7.55807139,8.490377013,11.5022847,12.95505685,12.95505685
1027389114,7.783006228,8.572563342,13.14821919,13.21197864,13.21197864
296947353,7.011670955,7.897798677,11.20425338,12.4933213,12.4933213
1030193285,6.875211109,7.760988846,10.97225697,12.40036228,12.40036228
2970389523,6.761530363,7.522130687,11.06576518,11.82001265,11.82001265
103652366,8.00536945,8.730417331,11.17857066,12.16393236,12.16393236
2972126748,7.034634672,7.874900118,10.39371595,12.46404407,12.46404407
1037644062,6.794293668,7.586032508,10.72366106,11.94673293,11.94673293
2976850765,6.500354009,7.422805863,11.04342142,12.82400337,12.82400337
1039797417,5.18477756,6.067564047,12.53845977,13.50735225,13.50735225
2978762615,7.271490655,7.589133546,11.20666249,13.19429416,13.19429416
1039936647,6.187708992,6.807882432,11.20840799,11.9805765,11.9805765
2979786632,7.468480512,8.159825207,11.30466883,13.3359993,13.3359993
1043634177,6.623352996,7.881861314,11.47722168,12.1435552,12.1435552
29811890,7.523131445,8.590511749,11.08757488,12.52254217,12.52254217
1044438549,7.478457421,8.746701044,11.48502882,12.2695682,12.2695682
2981829638,6.690023545,8.422171629,11.55423624,13.19662085,13.19662085
1046353426,6.677248529,7.291709389,11.98644307,13.20732816,13.20732816
2982184070,6.835764149,7.725619552,11.52328987,12.30372685,12.30372685
1046399178,5.612464188,7.076380351,10.53726625,11.69169565,11.69169565
2988053796,7.608062493,8.140033886,10.91721927,12.61812415,12.61812415
1048162151,7.320446916,8.16454754,11.68473502,12.42571084,12.42571084
2990984557,6.59340097,7.440247226,12.43403156,13.53564753,13.53564753
1050116930,6.617732745,7.368080429,10.56108411,12.1798125,12.1798125
2991801804,6.251350766,7.131327994,10.89213658,12.04597744,12.04597744
1057423710,6.02175118,6.510868506,11.35742162,12.18231085,12.18231085
2994983988,7.334784196,8.033178511,12.12676515,12.90397718,12.90397718
105914514,6.405573896,8.139099296,11.70986404,11.88344811,11.88344811
2996472019,7.356493732,8.389517945,11.06120025,12.15475769,12.15475769
1060532313,6.277975017,7.679169107,11.97967645,13.01002042,13.01002042
299894413,7.49424348,8.592847818,10.90986043,12.10994418,12.10994418
1060668554,7.88903053,8.326240662,11.14817279,12.31231655,12.31231655
3010264843,6.521999909,7.360970794,11.46161427,12.32809104,12.32809104
1065666069,5.442965864,6.032801809,11.20455363,12.64014556,12.64014556
3010354631,7.01651941,7.866565286,11.23379567,12.5780736,12.5780736
1068261111,6.607995215,6.985451691,11.43481517,13.06519763,13.06519763
3014879953,7.139061615,7.968162232,11.72032079,12.30643809,12.30643809
1070737504,6.436754243,7.73915735,10.61223137,11.73361979,11.73361979
3016118416,6.748772292,7.520311216,11.19780375,12.05973126,12.05973126
107578676,8.195835286,9.089583543,11.79207975,12.73239766,12.73239766
3017936002,6.462977104,7.82568361,11.13071792,12.32767073,12.32767073
1076565274,7.347757958,7.93658151,11.11085274,12.05454655,12.05454655
3022646611,7.148423645,7.819968686,11.04952299,12.44169479,12.44169479
1081366850,7.731495603,8.567954334,11.47611077,12.26142802,12.26142802
3029167955,6.335968546,7.276498033,11.20739166,12.59212529,12.59212529
1081730904,7.027516709,8.626592303,11.2057656,13.54135097,13.54135097
