sub,ses,acq,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
997818717,PNC1,se,0.1168256617,0.0008835122971458,0.9957794106430042,0.9915942983011368,0.9946488393822418,1.0,0.963661422976921,0.9298712258160592,0.953770655187274,0.974420106723771,0.6005224414297694,0.6062181368314975,0.7076881710120378,0.7784392160172791,0.7925434036581339,57.79524655983866,44.07874672176408,1.3111817113280582,6.791251946645,7.170424537883405,4.035479721037308,0.0,0.0
2832458131,PNC1,gre,0.0907326785599999,0.0014167509442448,0.9940771709781376,0.9882240886656852,0.9921427552655616,1.0,0.9768242293677576,0.9546983591725952,0.9703483629578932,0.9843707598371776,0.0671063282385925,0.0733616889718747,0.8456074959490473,0.833085673609389,0.8301616198688684,56.87803780174358,33.947036046402204,1.6754934870896236,1.9805720453318945,2.0237452779276848,0.3076092822450081,0.0,0.0
2832458131,PNC1,se,0.0813589896499999,0.0012089280841509,0.9984902299412384,0.9969850118213566,0.9979896723835758,1.0,0.9772654821227832,0.9555417022114312,0.9709341970204416,0.9878900949796472,0.7206918952462621,0.7125007068547818,0.7870965207758108,0.8141841096375675,0.8185100068033714,78.78178871227888,41.13942622217591,1.914994834561211,2.11855339182538,2.2736999786004706,1.1395249304515302,0.0,0.0
336426329,PNC1,se,0.0822821213374999,0.000872078221392,0.9984964202853814,0.9969973552864444,0.9979355675822892,1.0,0.9506464817100904,0.9059353832055776,0.9376198973460635,0.971583514099783,0.6453967744180421,0.648723381997295,0.7435864809857737,0.8229691998335871,0.825590575901227,49.4000311908852,23.417434311738276,2.109540717965112,4.138251704897706,4.561892953089481,2.495350278983261,0.0,0.0
2734016600,PNC1,se,0.0920062215559999,0.0004365875641171,0.9989921147803404,0.997986259180289,0.9986939933074804,1.0,0.9753527212332492,0.9518911936282778,0.9684590794321392,0.9810888738127544,0.757451431786013,0.7671385574970002,0.8363713684873968,0.8177577220816662,0.8098788327245835,72.58633442760853,36.89971066803504,1.967124758256915,2.3151883806095213,2.507603500713798,0.4841412699397927,0.0,0.0
1403873511,PNC1,se,0.0868654589999999,0.001732369444076,0.9979007660118724,0.9958103271274382,0.9973952450175416,1.0,0.9615744326092568,0.9259926400169533,0.9508412105255536,0.9634540366350068,0.7109899394744171,0.7293707357032396,0.8229467957931819,0.8387946046927596,0.8466405899510121,77.8658340502405,38.38520582240034,2.0285376196889,2.2392535821392867,1.7394201932689104,0.639786737754082,0.0,0.0
2529143538,PNC1,se,0.1459855714749999,0.0011437469596363,0.9993358239933582,0.9986725296606654,0.9991011759237528,1.0,0.9597856946019904,0.9226807299431964,0.948731306597416,0.9671469839889444,0.7329618006862262,0.7438593606085282,0.8148702806737309,0.8034484587892812,0.8165906887162248,87.50253688013315,36.93646718144464,2.3690012488279018,1.849380362249761,1.415633937082936,0.4814108674928503,0.0,0.0
1304389731,PNC1,se,0.171020511425,0.001288471267007,0.9990263300843506,0.9980545543905636,0.9986767443510038,1.0,0.9409671524869512,0.8885155495380958,0.9258746499749492,0.971046790695996,0.6361978464242296,0.6573958299689782,0.7643574010081785,0.8091791279064405,0.8291068646538102,67.46878336290953,35.579504517624144,1.8962822635567955,4.09179476077073,4.243342714873349,2.1433210651656203,0.0,0.0
850131294,PNC1,se,0.0625884826499999,0.000599405188911,0.9985304756737204,0.9970652640133644,0.9980683485663612,1.0,0.949177579567065,0.9032711532515716,0.9357570207096464,0.9701787943997237,0.6991815180515667,0.7003470004790754,0.7537667263774486,0.8092922925697873,0.8083462654948305,54.37226910185797,25.63585009564612,2.1209466001321453,4.533317854655213,4.695843974924541,2.635244950081263,0.0,0.0
3374628517,PNC1,se,0.20774554915,0.0026798866922687,0.9995627252851148,0.9991258328214336,0.9994326160569992,1.0,0.974255362675232,0.9498030281846518,0.9670538054951848,0.9793716078697422,0.7230973874575779,0.7578854321601294,0.8356647561982757,0.836512994425409,0.8502638153124911,90.19840141088294,40.55249143775126,2.224238220957126,1.857953011072104,1.2908452605995138,0.4374831217931407,0.0,0.0
982522394,PNC1,se,0.26516735611375,0.0009416792397518,0.9988627289665352,0.99772804176536,0.9985351150390775,1.0,0.9689748906954356,0.9398169665809768,0.960329459856495,0.9691022911382742,0.6202003156754635,0.7272262831486676,0.8131099193851716,0.7947580005681549,0.8018260351427021,98.50222770553292,47.65257837258133,2.067091248145553,2.9588617014943144,1.6788712270048225,0.5834375186045128,0.0,0.0
3010264843,PNC1,se,0.1677950767,0.0014601213900132,0.9985439090139904,0.997092052264466,0.9979916161671296,1.0,0.9584016949371504,0.9201260123779876,0.9472244900469866,0.9735741594561728,0.685256799173602,0.7061802348136423,0.7697736458435372,0.8194487746889275,0.8113569044948078,64.52631170365949,36.32968335470252,1.7761319600190568,4.014992041895569,4.117677260358371,1.843199671407301,0.0,0.0
3635306093,PNC1,se,0.1364193752912499,0.0012503362672362,0.9988564344266676,0.9977154813502146,0.9984686200188008,1.0,0.9682457585451666,0.9384461140473568,0.9594524056048888,0.9720796454503884,0.7167771280413288,0.7403324110424848,0.7996624427433633,0.839413692745307,0.8464674453295429,49.8518629814722,23.408689805046343,2.1296306370263127,3.618970783149888,3.474903474903475,2.3166023166023164,0.0,0.0
