sub,PreviousPipeline,ASLPrepCBF,ASLPrepSCRUB,ASLPrepBASIL,ASLPrepPVGM
3103368139,5.077678763,6.14633493,6.50325862,10.8357879,12.55727832
1163553824,6.273046194,6.558513539,7.131800971,11.404498,12.49403731
1006151876,7.410274236,7.100657268,7.561152915,11.08934386,12.28570686
1006151876,7.410274236,7.100657268,7.561152915,11.08934386,12.28570686
1103118018,6.894661099,7.061755957,7.596219985,11.49627547,12.44687987
1103118018,6.894661099,7.061755957,7.596219985,11.49627547,12.44687987
1114035056,5.060656494,6.546036376,8.080557782,12.89087079,13.81275299
1095340536,6.909359558,6.858603862,8.003815958,10.61095468,12.27091447
3264978932,6.094895633,5.766927857,6.713304777,11.01388222,12.35064683
3289562482,5.267077183,6.246004905,6.573341834,11.17603533,12.37232928
3289562482,5.267077183,6.246004905,6.573341834,11.17603533,12.37232928
2976850765,6.632230915,6.500354009,7.422805863,11.04342142,12.82400337
2976850765,6.632230915,6.500354009,7.422805863,11.04342142,12.82400337
3234489701,5.964561279,7.713775228,8.230064928,10.90020868,12.36011274
1046399178,6.799413808,5.612464188,7.076380351,10.53726625,11.69169565
1046399178,6.799413808,5.612464188,7.076380351,10.53726625,11.69169565
3260960488,4.130371977,6.000499806,6.691869207,10.29343986,12.30162532
3029167955,6.702931603,6.335968546,7.276498033,11.20739166,12.59212529
1157595916,6.476471316,6.362820105,7.334218784,10.60202728,12.32841714
3362293049,7.594033776,6.777147603,7.943245459,11.92931684,12.44752148
2951167051,6.674819558,5.772387695,6.479474509,11.26045339,11.96004136
2951167051,6.674819558,5.772387695,6.479474509,11.26045339,11.96004136
1060532313,5.75924262,6.277975017,7.679169107,11.97967645,13.01002042
3043294809,7.74236961,6.428621114,8.015825518,10.35588349,12.07871059
1088695522,4.431524949,7.378804706,7.943122963,11.02956015,12.25034385
1123556411,4.947401696,5.926040218,6.798225526,10.36136963,11.46474278
308228517,4.747508998,6.502338997,6.969910382,11.73585539,12.70449076
334290435,6.437685905,5.682069459,6.386158309,11.56753668,12.64576092
1168021938,6.604098667,6.197915827,6.995839895,10.67619668,11.94243075
1336976954,5.339269047,5.90185073,6.496560006,10.8371367,12.18948431
3017936002,6.601279813,6.462977104,7.82568361,11.13071792,12.32767073
1440768299,5.272835982,4.898234785,5.49611913,10.86238095,11.77047645
1440768299,5.272835982,4.898234785,5.49611913,10.86238095,11.77047645
1091857727,6.018167882,6.294844479,6.874231613,10.50144671,11.96596969
1204359507,4.830102577,7.072009999,7.77595998,11.26340838,12.3808376
1217141098,6.899408017,7.365175978,7.944763733,10.11136948,11.61620795
1011497669,5.088516452,6.735347867,7.582634002,11.52884952,12.48865694
3354511550,6.982874218,6.128010537,6.672565121,10.56011626,11.76303521
1017092387,7.477984837,6.636528885,7.06433958,11.21145832,12.24366757
3327313154,6.901169397,6.665713176,8.007919033,10.73723886,12.62523426
1221640483,6.428457259,6.160968465,6.847952228,10.96009969,12.24104931
3194463561,3.81015082,6.680967481,7.12144093,11.13075956,13.02428462
31361606,7.59051876,7.421453625,8.346414881,11.43509903,13.07057436
1200684014,5.60986873,7.117540234,8.304898963,11.04834176,12.52783969
1310206420,6.378721823,4.967823448,7.156685792,10.63573168,11.78769988
1185574887,5.573387994,5.604739421,6.09083267,13.18521072,14.64224582
335003211,6.992935644,6.795674358,7.678376314,11.13467178,12.82686036
3345297865,5.457538059,7.491715652,8.121127053,12.06483736,12.80067756
3345297865,5.457538059,7.491715652,8.121127053,12.06483736,12.80067756
3123429468,7.293226363,6.813209527,7.60721411,11.31221142,12.50295529
3032863642,6.977172426,7.701550062,8.555729721,11.01266257,12.5412472
3104080596,5.205476419,5.301568757,5.838670045,10.56062539,12.83226605
1236117854,7.804861261,7.818720844,8.501046399,12.12195164,12.24434137
3117409134,4.433615112,6.81942071,7.388951627,10.1516409,11.71097992
131655018,7.453084821,7.034510448,7.608922763,10.84964765,12.742376
3172989359,5.697709183,7.020966578,7.913329661,11.56057956,12.70418828
3172989359,5.697709183,7.020966578,7.913329661,11.56057956,12.70418828
3194237272,5.110855988,7.056399728,7.805248898,12.11337345,13.27065694
1094939473,7.697051032,6.527952135,7.655686101,12.97364211,13.47464849
1081730904,7.419225598,7.027516709,8.626592303,11.2057656,13.54135097
1201047966,6.997383081,7.503499075,8.344530231,10.40237305,11.94271234
103652366,5.906485052,8.00536945,8.730417331,11.17857066,12.16393236
1348459455,6.584909926,7.42493588,8.415246891,11.40053083,13.202341
3147576269,7.032594242,6.70133159,7.760396357,10.29311031,11.45258887
322458406,7.539834233,7.423222634,7.951090969,11.23502239,12.28902079
3010264843,6.243858061,6.521999909,7.360970794,11.46161427,12.32809104
115784129,3.457058796,6.355853286,6.839366268,11.09622932,11.65507496
115784129,3.457058796,6.355853286,6.839366268,11.09622932,11.65507496
1030193285,6.719747474,6.875211109,7.760988846,10.97225697,12.40036228
3128815857,5.98144952,7.174373754,8.090504879,10.7189391,12.40525811
2990984557,6.962981407,6.59340097,7.440247226,12.43403156,13.53564753
2990984557,6.962981407,6.59340097,7.440247226,12.43403156,13.53564753
3138616935,6.950021576,7.56455734,8.190942149,11.53039317,12.40070823
299894413,6.51955388,7.49424348,8.592847818,10.90986043,12.10994418
1214132906,7.290384765,6.43495051,7.601069815,10.17374588,11.88716823
2988053796,6.408470499,7.608062493,8.140033886,10.91721927,12.61812415
3123810007,7.881612328,6.957212243,7.720918391,11.5570739,11.93788197
3095311898,7.20405966,7.487362347,8.004079263,10.92893913,13.03853744
1216701855,5.94542727,6.695316159,7.42076295,11.90682315,13.121394
1228855311,6.423221662,7.287704265,8.073702199,11.37773671,13.7184574
1403873511,7.14735483,7.045178793,8.248062892,11.55465542,13.3125201
3245954075,7.210501842,7.058810335,7.659504013,12.50907777,13.08535752
3245954075,7.210501842,7.058810335,7.659504013,12.50907777,13.08535752
1046353426,6.81962428,6.677248529,7.291709389,11.98644307,13.20732816
1190308761,5.864386544,5.910355071,6.499911748,10.53733273,11.8867143
2939479952,5.168132528,6.19306273,6.658986251,10.24741658,11.62737834
3342182273,5.518599282,6.416164019,7.785037502,11.49236717,12.91519967
3227202635,4.980203684,7.637754699,8.648963927,12.0295234,12.66776599
3332328549,7.405119205,7.484411257,8.321985145,11.20524062,12.77686853
296947353,5.834896884,7.011670955,7.897798677,11.20425338,12.4933213
3279245901,6.883160788,7.841303777,8.949154833,12.23718517,11.87224071
1081366850,6.813103472,7.731495603,8.567954334,11.47611077,12.26142802
3052691308,6.917027598,7.171151863,9.006494109,13.11360275,14.06663653
3176046588,7.305765203,6.838066104,7.88364228,11.89243886,12.95329811
1222568744,6.948737995,7.697367914,8.713602949,11.50192006,12.53188651
3275217080,6.550599219,6.890443351,8.080085734,10.73080702,12.42463051
3039910629,7.214495751,8.064792365,9.087386422,11.37866941,12.06056037
3214822644,7.703360586,8.172734936,8.836349872,11.434082,12.5419902
1084860562,5.800778407,6.360004298,6.804042935,11.28130496,12.82077099
3351164964,5.316170629,6.897203248,8.203500696,11.19293208,13.1503202
