Datasets,CBF.GM,CBF.WM,CBFTYPE
PNC,104.968016,50.489394,SCBF
PNC,90.533814,39.373315,SCBF
PNC,75.416574,32.192331,SCBF
PNC,59.230561,37.464512,SCBF
PNC,81.036066,47.499447,SCBF
PNC,71.846445,38.786398,SCBF
PNC,69.691311,31.796999,SCBF
PNC,47.755924,33.094299,SCBF
PNC,78.887659,37.59532,SCBF
PNC,74.861199,35.392243,SCBF
PNC,93.252319,42.519597,SCBF
PNC,65.855165,41.63817,SCBF
PNC,75.82236,39.913273,SCBF
PNC,57.783367,33.628789,SCBF
PNC,86.436022,42.731348,SCBF
PNC,60.883565,28.820578,SCBF
PNC,65.171818,29.387393,SCBF
PNC,76.11094,39.824558,SCBF
PNC,58.789123,24.376362,SCBF
PNC,44.749894,21.063173,SCBF
PNC,60.079726,31.170702,SCBF
PNC,72.760688,39.659223,SCBF
PNC,69.945841,38.15899,SCBF
PNC,60.452297,26.772196,SCBF
PNC,67.867643,33.132147,SCBF
PNC,63.95131,28.436876,SCBF
PNC,53.663763,24.780921,SCBF
PNC,88.639398,36.558459,SCBF
PNC,65.831508,38.003594,SCBF
PNC,87.997123,44.63295,SCBF
PNC,81.506146,46.95375,SCBF
PNC,81.17277,39.817993,SCBF
PNC,77.965254,40.847488,SCBF
PNC,43.487207,24.204611,SCBF
PNC,54.506209,39.759367,SCBF
PNC,55.522365,18.506527,SCBF
PNC,96.221749,48.265134,SCBF
PNC,78.933886,39.919965,SCBF
PNC,84.183922,44.86558,SCBF
PNC,66.696139,35.287233,SCBF
PNC,62.543652,33.470525,SCBF
PNC,81.641072,41.036744,SCBF
PNC,94.085284,45.743624,SCBF
PNC,87.646521,33.862144,SCBF
PNC,64.506808,38.842159,SCBF
PNC,97.670373,38.85585,SCBF
PNC,115.861206,43.675133,SCBF
PNC,63.970501,31.775079,SCBF
PNC,73.408783,39.159095,SCBF
PNC,81.520431,44.001416,SCBF
PNC,81.341791,49.595783,SCBF
PNC,59.673785,30.634374,SCBF
PNC,83.796896,37.750383,SCBF
PNC,83.821605,34.331096,SCBF
PNC,60.142758,27.949231,SCBF
PNC,58.372766,36.449209,SCBF
PNC,102.462848,39.772692,SCBF
PNC,80.784535,41.891758,SCBF
PNC,61.398956,25.464573,SCBF
PNC,77.315885,32.05032,SCBF
PNC,69.090352,42.225864,SCBF
PNC,53.23035,23.102705,SCBF
PNC,47.974758,23.664069,SCBF
PNC,70.303166,54.549191,SCBF
PNC,64.512901,29.755345,SCBF
PNC,108.368751,69.659277,SCBF
PNC,65.739264,31.072078,SCBF
PNC,83.322942,36.505048,SCBF
PNC,75.615735,50.053275,SCBF
PNC,95.658511,38.769226,SCBF
PNC,62.988133,29.991209,SCBF
PNC,51.88053,23.934344,SCBF
PNC,84.089809,37.407625,SCBF
PNC,53.349581,23.927248,SCBF
PNC,85.541028,51.53194,SCBF
PNC,55.444845,30.406908,SCBF
PNC,108.695561,56.004956,SCBF
PNC,65.830897,29.416087,SCBF
PNC,90.835205,44.890129,SCBF
PNC,80.091666,37.3711,SCBF
PNC,55.392211,29.672087,SCBF
PNC,49.80113,26.458007,SCBF
PNC,83.557915,43.17926,SCBF
PNC,64.285847,46.054756,SCBF
PNC,90.651067,37.735979,SCBF
PNC,84.939587,46.329137,SCBF
PNC,62.836007,38.414863,SCBF
PNC,67.405818,30.43787,SCBF
PNC,91.83247,48.711367,SCBF
PNC,55.605528,32.606625,SCBF
PNC,55.852587,28.360822,SCBF
PNC,78.610981,35.49275,SCBF
PNC,68.953096,34.963493,SCBF
PNC,75.881195,36.751666,SCBF
PNC,98.629013,51.077738,SCBF
PNC,62.859612,28.625835,SCBF
PNC,79.88766,40.520551,SCBF
PNC,78.736073,33.178011,SCBF
PNC,63.247647,24.935657,SCBF
PNC,75.576262,37.775589,SCBF
PNC,61.795244,44.614657,SCBF
PNC,66.760044,32.336073,SCBF
PNC,83.169387,36.599062,SCBF
PNC,79.940554,36.502644,SCBF
PNC,85.494323,46.831638,SCBF
PNC,64.112136,40.328535,SCBF
PNC,58.393973,29.240548,SCBF
PNC,87.262607,43.848574,SCBF
PNC,65.312503,34.08187,SCBF
PNC,106.936958,56.686372,SCBF
PNC,58.651231,29.644648,SCBF
PNC,63.313619,34.412919,SCBF
PNC,74.00355,37.55003,SCBF
PNC,85.803537,34.408266,SCBF
PNC,92.008074,45.508558,SCBF
PNC,69.336213,29.802892,SCBF
PNC,79.439473,40.081763,SCBF
PNC,94.683179,59.684965,SCBF
PNC,72.077038,30.211949,SCBF
PNC,70.789663,35.669387,SCBF
PNC,85.538148,40.583356,SCBF
PNC,91.039864,40.597181,SCBF
PNC,89.116826,45.406119,SCBF
PNC,47.780043,22.556355,SCBF
PNC,86.588503,40.596946,SCBF
PNC,77.746511,35.796876,SCBF
PNC,67.474045,37.099408,SCBF
PNC,76.424309,46.526366,SCBF
PNC,109.429585,51.600941,SCBF
PNC,82.947354,43.964756,SCBF
PNC,73.900832,48.74665,SCBF
PNC,68.337503,36.105879,SCBF
PNC,82.286082,35.020513,SCBF
PNC,69.950912,45.940267,SCBF
PNC,85.011734,48.706502,SCBF
PNC,48.622762,26.19059,SCBF
PNC,88.157029,41.835498,SCBF
PNC,50.844551,31.420543,SCBF
PNC,77.033954,39.58914,SCBF
PNC,83.374443,37.349556,SCBF
PNC,78.204956,40.614531,SCBF
PNC,78.332636,46.33656,SCBF
PNC,110.570054,46.741095,SCBF
PNC,70.109877,39.494874,SCBF
PNC,67.039058,27.84012,SCBF
PNC,71.523582,31.670529,SCBF
PNC,99.693876,46.607702,SCBF
PNC,67.056342,31.461773,SCBF
PNC,80.714076,36.434162,SCBF
PNC,82.888069,37.44879,SCBF
PNC,61.845798,31.622028,SCBF
PNC,58.412215,31.10295,SCBF
PNC,71.665354,37.217874,SCBF
PNC,65.973172,31.651779,SCBF
PNC,57.000059,25.848344,SCBF
PNC,56.317204,24.774455,SCBF
PNC,58.33033,32.869475,SCBF
PNC,75.238254,44.782749,SCBF
PNC,39.939483,24.186177,SCBF
PNC,69.497297,30.973457,SCBF
PNC,55.678412,22.87206,SCBF
PNC,71.226894,36.200796,SCBF
PNC,74.775342,32.769129,SCBF
PNC,91.811833,39.621961,SCBF
PNC,56.206759,28.928265,SCBF
PNC,57.323817,20.961757,SCBF
PNC,68.480579,34.823337,SCBF
PNC,100.180295,47.44788,SCBF
PNC,82.479485,35.381597,SCBF
PNC,105.619568,55.266445,SCBF
PNC,71.769548,34.309599,SCBF
PNC,73.461138,35.125814,SCBF
PNC,94.419683,45.013641,SCBF
PNC,87.10912,35.385302,SCBF
PNC,51.841455,32.546922,SCBF
PNC,60.854521,43.340616,SCBF
PNC,47.232457,25.036212,SCBF
PNC,65.19707,29.418848,SCBF
PNC,97.803767,54.688203,SCBF
PNC,82.969475,32.072391,SCBF
PNC,53.921956,30.922243,SCBF
PNC,98.604476,48.444323,SCBF
PNC,68.849041,38.107054,SCBF
PNC,109.403265,41.584045,SCBF
PNC,83.380963,42.360317,SCBF
PNC,87.524684,41.262506,SCBF
PNC,88.278302,41.271046,SCBF
PNC,80.815687,37.494172,SCBF
PNC,112.955738,43.085569,SCBF
PNC,68.8047,39.580128,SCBF
PNC,82.201804,37.432758,SCBF
PNC,75.667337,43.535685,SCBF
PNC,70.005413,33.649555,SCBF
PNC,76.025504,37.803368,SCBF
PNC,67.565745,33.384624,SCBF
PNC,84.72004,34.932239,SCBF
PNC,58.197674,28.030462,SCBF
PNC,84.537827,36.2816,SCBF
PNC,87.475242,36.234307,SCBF
PNC,48.275553,30.729283,SCBF
PNC,79.104203,30.935719,SCBF
PNC,74.94875,37.795049,SCBF
PNC,72.683372,39.909758,SCBF
PNC,78.446119,33.182675,SCBF
PNC,66.609613,33.01605,SCBF
PNC,86.670082,42.523537,SCBF
PNC,91.585882,45.695165,SCBF
PNC,88.966931,56.688905,SCBF
PNC,72.753769,31.739375,SCBF
PNC,65.736666,33.075584,SCBF
PNC,69.398181,33.145246,SCBF
PNC,101.936359,53.386443,SCBF
PNC,75.250297,35.350881,SCBF
PNC,66.61754,35.645202,SCBF
PNC,70.280877,35.913757,SCBF
PNC,75.439785,34.976833,SCBF
PNC,65.913039,27.637907,SCBF
PNC,57.182794,35.224539,SCBF
PNC,60.2555,27.934253,SCBF
PNC,100.455188,71.557941,SCBF
PNC,81.772739,41.519155,SCBF
PNC,95.855367,38.590067,SCBF
PNC,79.09693,46.868658,SCBF
PNC,83.860322,40.876637,SCBF
PNC,61.018269,42.500413,SCBF
PNC,90.56294,35.403538,SCBF
PNC,79.421439,47.645107,SCBF
PNC,78.926941,62.909072,SCBF
PNC,101.54002,52.927155,SCBF
PNC,84.353001,40.097014,SCBF
PNC,68.576908,29.695925,SCBF
PNC,67.818518,31.270596,SCBF
PNC,69.976899,33.649242,SCBF
PNC,65.33885,30.32563,SCBF
PNC,81.07632,37.488456,SCBF
PNC,51.43716,34.351721,SCBF
PNC,88.646438,49.133489,SCBF
PNC,66.547727,29.7713,SCBF
PNC,64.431267,27.681932,SCBF
PNC,60.130469,24.510272,SCBF
PNC,68.630018,29.414067,SCBF
PNC,63.091918,27.29365,SCBF
PNC,72.632281,34.080742,SCBF
PNC,66.726192,27.377751,SCBF
PNC,56.421071,31.210527,SCBF
PNC,60.64038,31.968271,SCBF
PNC,78.60866,33.740711,SCBF
PNC,55.285474,35.68303,SCBF
PNC,76.578389,33.819136,SCBF
PNC,85.841127,42.985629,SCBF
PNC,63.702783,39.174818,SCBF
PNC,63.856528,40.79813,SCBF
PNC,65.50403,31.477207,SCBF
PNC,68.100996,39.590126,SCBF
PNC,74.991381,41.546408,SCBF
PNC,52.569911,34.917173,SCBF
PNC,65.065459,41.71553,SCBF
PNC,44.789517,32.855435,SCBF
PNC,85.378629,42.30959,SCBF
PNC,63.765861,44.017111,SCBF
PNC,65.474794,32.244881,SCBF
PNC,63.421198,30.024305,SCBF
PNC,66.47674,35.173636,SCBF
PNC,85.996451,40.951543,SCBF
PNC,65.982676,34.592501,SCBF
PNC,73.062719,36.875693,SCBF
PNC,60.367792,27.332396,SCBF
PNC,75.579208,38.808609,SCBF
PNC,79.54902,33.270434,SCBF
PNC,86.224992,42.139647,SCBF
PNC,96.5521,38.772022,SCBF
PNC,58.40407,30.795407,SCBF
PNC,80.320066,40.619513,SCBF
PNC,71.124585,37.167803,SCBF
PNC,78.7429,36.901512,SCBF
PNC,90.462669,43.385053,SCBF
PNC,98.746892,30.500593,SCBF
PNC,86.429781,35.553846,SCBF
PNC,82.857425,38.732069,SCBF
PNC,85.710773,35.451168,SCBF
PNC,62.813405,33.03418,SCBF
PNC,81.271789,37.057384,SCBF
PNC,114.138129,56.107625,SCBF
PNC,70.727866,35.641431,SCBF
PNC,78.921767,35.282128,SCBF
PNC,77.062125,38.83768,SCBF
PNC,117.132887,58.503373,SCBF
PNC,101.587443,60.095208,SCBF
PNC,72.274714,42.495842,SCBF
PNC,67.032654,29.660031,SCBF
PNC,67.431511,35.601846,SCBF
PNC,80.367232,41.018492,SCBF
PNC,88.433383,36.945845,SCBF
PNC,57.722258,34.179834,SCBF
PNC,98.090212,44.902514,SCBF
PNC,57.625806,28.35048,SCBF
PNC,86.542777,38.982852,SCBF
PNC,62.397379,33.993033,SCBF
PNC,103.942811,41.750125,SCBF
PNC,85.359043,39.264282,SCBF
PNC,62.104425,35.303585,SCBF
PNC,62.252761,29.598815,SCBF
PNC,78.563362,30.995235,SCBF
PNC,75.466842,32.090538,SCBF
PNC,77.160527,38.720862,SCBF
PNC,54.295618,28.044377,SCBF
PNC,67.032802,30.009312,SCBF
PNC,66.842157,22.980059,SCBF
PNC,72.479743,37.232604,SCBF
PNC,65.731354,36.483922,SCBF
PNC,101.465979,68.089731,SCBF
PNC,81.525949,39.998016,SCBF
PNC,64.063733,23.501081,SCBF
PNC,91.375123,59.602838,SCBF
PNC,60.566088,37.569727,SCBF
PNC,70.677744,29.515391,SCBF
PNC,60.087559,33.030791,SCBF
PNC,44.672502,25.527053,SCBF
PNC,76.502531,28.971851,SCBF
PNC,96.920506,41.637341,SCBF
PNC,58.478468,29.14788,SCBF
PNC,57.723813,36.055573,SCBF
PNC,88.421146,35.763421,SCBF
PNC,96.501232,46.346328,SCBF
PNC,84.115892,34.833395,SCBF
PNC,81.781273,37.919156,SCBF
PNC,89.657781,45.034714,SCBF
PNC,86.680042,58.932649,SCBF
PNC,68.355539,30.021139,SCBF
PNC,85.782973,37.084958,SCBF
PNC,89.165721,48.040823,SCBF
PNC,95.764441,52.690139,SCBF
PNC,117.277461,56.39707,SCBF
PNC,83.66809,49.449819,SCBF
PNC,59.019115,25.324942,SCBF
PNC,86.079721,38.954541,SCBF
PNC,73.732812,39.631568,SCBF
PNC,96.772508,44.179066,SCBF
PNC,49.747926,22.914957,SCBF
PNC,61.266087,26.971628,SCBF
PNC,67.120944,30.588634,SCBF
PNC,66.974498,40.192463,SCBF
PNC,88.969691,48.140765,SCBF
PNC,45.197252,25.044596,SCBF
PNC,45.972957,20.377084,SCBF
PNC,56.447631,31.350209,SCBF
PNC,82.887209,36.282335,SCBF
PNC,65.770538,34.421977,SCBF
PNC,94.477005,35.300765,SCBF
PNC,89.068514,47.959006,SCBF
PNC,66.006427,31.65031,SCBF
PNC,87.519502,38.720925,SCBF
PNC,52.001445,25.135634,SCBF
PNC,96.239784,38.977825,SCBF
PNC,80.662801,41.335462,SCBF
PNC,77.016827,46.11261,SCBF
PNC,68.212257,29.968351,SCBF
PNC,91.295281,46.240225,SCBF
PNC,59.225788,28.987441,SCBF
PNC,88.873286,40.55552,SCBF
PNC,88.478889,38.896121,SCBF
PNC,110.408287,41.061767,SCBF
PNC,77.42067,41.507431,SCBF
PNC,51.920482,20.728643,SCBF
PNC,84.098848,32.15586,SCBF
PNC,78.366512,51.402837,SCBF
PNC,64.105389,32.546868,SCBF
PNC,80.546851,44.124413,SCBF
PNC,66.085092,30.349196,SCBF
PNC,63.756481,33.147251,SCBF
PNC,90.067068,39.097173,SCBF
PNC,72.018103,35.759463,SCBF
PNC,103.822988,45.09596,SCBF
PNC,46.49889,24.770121,SCBF
PNC,70.471651,48.468887,SCBF
PNC,73.282607,29.589226,SCBF
PNC,72.351796,35.304867,SCBF
PNC,69.634759,36.422058,SCBF
PNC,113.151931,51.297477,SCBF
PNC,55.477316,38.345384,SCBF
PNC,94.22191,43.654634,SCBF
PNC,63.630923,35.730688,SCBF
PNC,55.309448,33.551859,SCBF
PNC,52.150541,28.854695,SCBF
PNC,80.974436,40.257371,SCBF
PNC,76.918542,36.020219,SCBF
PNC,81.046957,46.560485,SCBF
PNC,62.727639,36.096953,SCBF
PNC,42.659161,20.981363,SCBF
PNC,84.007914,40.235711,SCBF
PNC,80.266246,35.838664,SCBF
PNC,50.471272,33.60315,SCBF
PNC,56.125804,33.100116,SCBF
PNC,86.773723,43.391136,SCBF
PNC,82.131928,39.537058,SCBF
PNC,90.933248,51.493116,SCBF
PNC,107.178048,41.991623,SCBF
PNC,75.077021,43.841203,SCBF
PNC,72.061341,33.540561,SCBF
PNC,51.169905,23.141045,SCBF
PNC,85.059077,38.603128,SCBF
PNC,73.445129,32.398285,SCBF
PNC,61.976144,28.162213,SCBF
PNC,69.2986,30.798796,SCBF
PNC,78.647337,36.443259,SCBF
PNC,83.094856,38.430064,SCBF
PNC,77.278749,35.554449,SCBF
PNC,93.881632,51.598136,SCBF
PNC,107.089532,45.028671,SCBF
PNC,91.379208,57.09594,SCBF
PNC,86.394252,54.850575,SCBF
PNC,79.666974,45.098101,SCBF
PNC,74.682597,39.330572,SCBF
PNC,64.933073,33.365164,SCBF
PNC,58.650441,26.66715,SCBF
PNC,55.2298,26.718674,SCBF
PNC,77.297764,38.245005,SCBF
PNC,57.536292,29.924585,SCBF
PNC,78.197662,30.927892,SCBF
PNC,62.362201,33.117021,SCBF
PNC,52.645684,33.248895,SCBF
PNC,75.244113,43.748136,SCBF
PNC,72.48394,43.507638,SCBF
PNC,66.135111,23.342093,SCBF
PNC,87.071823,41.704343,SCBF
PNC,75.254755,52.278138,SCBF
