Datasets,CBF,CBFTYPE,AGE
PNC,61.259004,SCBF,19.58333333
PNC,66.550996,SCBF,18.5
PNC,81.24776,SCBF,11.58333333
PNC,61.383076,SCBF,15.25
PNC,70.17301,SCBF,17.75
PNC,72.707744,SCBF,9.666666667
PNC,55.203581,SCBF,17.66666667
PNC,82.598167,SCBF,12.33333333
PNC,47.413129,SCBF,17
PNC,80.424848,SCBF,19.33333333
PNC,100.809892,SCBF,11.83333333
PNC,110.685755,SCBF,9.75
PNC,53.305539,SCBF,20.5
PNC,96.553096,SCBF,9.583333333
PNC,63.690034,SCBF,21.33333333
PNC,102.651381,SCBF,10.75
PNC,81.351057,SCBF,18.66666667
PNC,54.772748,SCBF,16.08333333
PNC,72.06037,SCBF,16
PNC,57.769452,SCBF,19
PNC,65.39759,SCBF,14.41666667
PNC,46.726309,SCBF,18.33333333
PNC,83.558257,SCBF,13.83333333
PNC,64.032454,SCBF,18.33333333
PNC,66.608797,SCBF,15.58333333
PNC,72.945907,SCBF,17.66666667
PNC,82.54159,SCBF,14.91666667
PNC,39.841861,SCBF,19.08333333
PNC,69.548298,SCBF,17
PNC,68.001273,SCBF,19.58333333
PNC,70.232323,SCBF,16.75
PNC,64.626326,SCBF,18.83333333
PNC,82.933238,SCBF,19.41666667
PNC,80.389661,SCBF,12.5
PNC,73.347691,SCBF,9.166666667
PNC,71.83509,SCBF,13.75
PNC,101.996353,SCBF,8.666666667
PNC,77.510183,SCBF,14.5
PNC,78.691057,SCBF,20.83333333
PNC,65.796264,SCBF,16.83333333
PNC,70.651478,SCBF,15.08333333
PNC,104.327396,SCBF,8.416666667
PNC,78.339957,SCBF,12.41666667
PNC,81.576742,SCBF,14.83333333
PNC,63.820873,SCBF,15.5
PNC,63.609945,SCBF,17.58333333
PNC,74.806329,SCBF,14.75
PNC,77.345964,SCBF,15.83333333
PNC,76.002866,SCBF,11.41666667
PNC,56.049269,SCBF,15.91666667
PNC,85.763125,SCBF,14.58333333
PNC,61.697215,SCBF,20.41666667
PNC,80.160561,SCBF,20.5
PNC,75.570136,SCBF,9.333333333
PNC,86.127745,SCBF,10.91666667
PNC,77.732914,SCBF,13.41666667
PNC,88.182254,SCBF,12.41666667
PNC,76.384884,SCBF,19.08333333
PNC,67.972323,SCBF,13.33333333
PNC,95.216192,SCBF,15.16666667
PNC,71.6487,SCBF,17.58333333
PNC,85.019809,SCBF,21.25
PNC,117.851892,SCBF,12
PNC,62.997252,SCBF,16.16666667
PNC,61.952744,SCBF,15.41666667
PNC,69.9384,SCBF,13.33333333
PNC,68.167714,SCBF,19.91666667
PNC,86.946676,SCBF,11
PNC,93.277636,SCBF,10.5
PNC,76.766776,SCBF,12.75
PNC,66.877618,SCBF,18.91666667
PNC,59.556931,SCBF,18
PNC,98.511639,SCBF,11.41666667
PNC,83.978654,SCBF,12.16666667
PNC,65.985396,SCBF,13.75
PNC,54.6254,SCBF,20.5
PNC,75.082585,SCBF,11.33333333
PNC,53.466104,SCBF,18.16666667
PNC,83.915315,SCBF,16.33333333
PNC,74.143374,SCBF,16.75
PNC,71.10813,SCBF,12.5
PNC,75.787901,SCBF,16.25
PNC,99.658619,SCBF,21.25
PNC,118.284341,SCBF,13.41666667
PNC,69.682784,SCBF,21.33333333
PNC,91.086825,SCBF,14.5
PNC,79.743062,SCBF,18.08333333
PNC,84.909336,SCBF,13.16666667
PNC,48.52715,SCBF,19.33333333
PNC,96.666205,SCBF,12.75
PNC,78.754667,SCBF,15
PNC,75.293171,SCBF,12.5
PNC,63.553507,SCBF,17.25
PNC,84.33775,SCBF,12.58333333
PNC,71.385814,SCBF,18
PNC,103.683245,SCBF,11
PNC,79.284414,SCBF,14.5
PNC,74.953525,SCBF,20.58333333
PNC,77.45751,SCBF,10.83333333
PNC,104.217452,SCBF,9.083333333
PNC,91.491557,SCBF,8.75
PNC,65.64884,SCBF,19.91666667
PNC,51.025399,SCBF,19.25
PNC,49.010847,SCBF,19.58333333
PNC,66.537381,SCBF,20.16666667
PNC,66.73838,SCBF,15.91666667
PNC,85.723722,SCBF,14.75
PNC,69.197281,SCBF,15.58333333
PNC,53.876604,SCBF,14.08333333
PNC,75.42585,SCBF,19.33333333
PNC,72.647907,SCBF,19.91666667
PNC,86.86948,SCBF,20.75
PNC,90.128138,SCBF,13.33333333
PNC,85.756683,SCBF,13.41666667
PNC,78.821694,SCBF,9.333333333
PNC,78.893811,SCBF,18.58333333
PNC,82.101084,SCBF,18.83333333
PNC,70.764875,SCBF,20.33333333
PNC,69.907661,SCBF,14.75
PNC,83.427515,SCBF,8.916666667
PNC,71.717013,SCBF,13.33333333
PNC,70.280339,SCBF,16.58333333
PNC,84.325678,SCBF,13.16666667
PNC,84.669214,SCBF,11.58333333
PNC,68.52587,SCBF,16.91666667
PNC,62.669822,SCBF,15.83333333
PNC,72.468639,SCBF,11.83333333
PNC,106.511757,SCBF,10.5
PNC,75.05522,SCBF,14.41666667
PNC,81.642059,SCBF,18.75
PNC,65.270684,SCBF,10.16666667
PNC,60.996796,SCBF,15.16666667
PNC,95.057906,SCBF,9.5
PNC,100.595443,SCBF,11.25
PNC,93.763218,SCBF,8.166666667
PNC,85.105188,SCBF,15.41666667
PNC,74.874396,SCBF,15.5
PNC,101.825028,SCBF,8.5
PNC,104.968016,SCBF,9.833333333
PNC,90.533814,SCBF,10.5
PNC,75.416574,SCBF,18.33333333
PNC,59.230561,SCBF,23.08333333
PNC,81.036066,SCBF,10
PNC,71.846445,SCBF,20.75
PNC,69.691311,SCBF,17.66666667
PNC,47.755924,SCBF,18.58333333
PNC,78.887659,SCBF,18.83333333
PNC,74.861199,SCBF,17.16666667
PNC,93.252319,SCBF,9.75
PNC,65.855165,SCBF,18.33333333
PNC,75.82236,SCBF,8.583333333
PNC,57.783367,SCBF,18
PNC,86.436022,SCBF,16.08333333
PNC,60.883565,SCBF,19.33333333
PNC,65.171818,SCBF,15.16666667
PNC,76.11094,SCBF,18.41666667
PNC,58.789123,SCBF,19.75
PNC,44.749894,SCBF,15.58333333
PNC,60.079726,SCBF,18.91666667
PNC,72.760688,SCBF,9.833333333
PNC,69.945841,SCBF,13.83333333
PNC,60.452297,SCBF,19.83333333
PNC,67.867643,SCBF,17.16666667
PNC,63.95131,SCBF,19.25
PNC,53.663763,SCBF,21.16666667
PNC,88.639398,SCBF,13.16666667
PNC,65.831508,SCBF,12.66666667
PNC,87.997123,SCBF,9.083333333
PNC,81.506146,SCBF,10.16666667
PNC,81.17277,SCBF,14.75
PNC,77.965254,SCBF,10.5
PNC,43.487207,SCBF,18
PNC,54.506209,SCBF,20
PNC,55.522365,SCBF,19.41666667
PNC,96.221749,SCBF,10.91666667
PNC,78.933886,SCBF,13.66666667
PNC,84.183922,SCBF,15.25
PNC,66.696139,SCBF,14.91666667
PNC,62.543652,SCBF,17.83333333
PNC,81.641072,SCBF,10.83333333
PNC,94.085284,SCBF,11.41666667
PNC,87.646521,SCBF,23.08333333
PNC,64.506808,SCBF,16.58333333
PNC,97.670373,SCBF,12.16666667
PNC,115.861206,SCBF,9.5
PNC,63.970501,SCBF,20.5
PNC,73.408783,SCBF,10.41666667
PNC,81.520431,SCBF,8.75
PNC,81.341791,SCBF,10.08333333
PNC,59.673785,SCBF,21.75
PNC,83.796896,SCBF,16.66666667
PNC,83.821605,SCBF,20.25
PNC,60.142758,SCBF,20.58333333
PNC,58.372766,SCBF,16.5
PNC,102.462848,SCBF,8.75
PNC,80.784535,SCBF,13.08333333
PNC,61.398956,SCBF,17.66666667
PNC,77.315885,SCBF,16.08333333
PNC,69.090352,SCBF,16.5
PNC,53.23035,SCBF,22.5
PNC,47.974758,SCBF,17.08333333
PNC,70.303166,SCBF,9.75
PNC,64.512901,SCBF,16.16666667
PNC,108.368751,SCBF,11.25
PNC,65.739264,SCBF,17.5
PNC,83.322942,SCBF,13.5
PNC,75.615735,SCBF,18
PNC,95.658511,SCBF,11.66666667
PNC,62.988133,SCBF,18.41666667
PNC,51.88053,SCBF,22.33333333
PNC,84.089809,SCBF,12.08333333
PNC,53.349581,SCBF,16.08333333
PNC,85.541028,SCBF,21.83333333
PNC,55.444845,SCBF,18.58333333
PNC,108.695561,SCBF,8.75
PNC,65.830897,SCBF,19.75
PNC,90.835205,SCBF,10.5
PNC,80.091666,SCBF,12.33333333
PNC,55.392211,SCBF,20
PNC,49.80113,SCBF,22.41666667
PNC,83.557915,SCBF,19.16666667
PNC,64.285847,SCBF,17.75
PNC,90.651067,SCBF,10.83333333
PNC,84.939587,SCBF,9.666666667
PNC,62.836007,SCBF,14
PNC,67.405818,SCBF,18.83333333
PNC,91.83247,SCBF,9.166666667
PNC,55.605528,SCBF,17.58333333
PNC,55.852587,SCBF,18.16666667
PNC,78.610981,SCBF,16.16666667
PNC,68.953096,SCBF,16.25
PNC,75.881195,SCBF,15.16666667
PNC,98.629013,SCBF,10
PNC,62.859612,SCBF,19.08333333
PNC,79.88766,SCBF,13.91666667
PNC,78.736073,SCBF,14.25
PNC,63.247647,SCBF,16.25
PNC,75.576262,SCBF,16.41666667
PNC,61.795244,SCBF,18.83333333
PNC,66.760044,SCBF,14.5
PNC,83.169387,SCBF,12.41666667
PNC,79.940554,SCBF,19.33333333
PNC,85.494323,SCBF,12.16666667
PNC,64.112136,SCBF,18.41666667
PNC,58.393973,SCBF,20.75
PNC,87.262607,SCBF,14.08333333
PNC,65.312503,SCBF,20.25
PNC,106.936958,SCBF,13.16666667
PNC,58.651231,SCBF,21.5
PNC,63.313619,SCBF,18.41666667
PNC,74.00355,SCBF,13.58333333
PNC,85.803537,SCBF,18.41666667
PNC,92.008074,SCBF,10.08333333
PNC,69.336213,SCBF,17.33333333
PNC,79.439473,SCBF,12.91666667
PNC,94.683179,SCBF,10
PNC,72.077038,SCBF,13.91666667
PNC,70.789663,SCBF,18.25
PNC,85.538148,SCBF,20.66666667
PNC,91.039864,SCBF,14.58333333
PNC,89.116826,SCBF,13.75
PNC,47.780043,SCBF,23
PNC,86.588503,SCBF,14.41666667
PNC,77.746511,SCBF,16.33333333
PNC,67.474045,SCBF,12.25
PNC,76.424309,SCBF,14.75
PNC,109.429585,SCBF,10.66666667
PNC,82.947354,SCBF,12.08333333
PNC,73.900832,SCBF,10.16666667
PNC,68.337503,SCBF,14.5
PNC,82.286082,SCBF,13.25
PNC,69.950912,SCBF,16.58333333
PNC,85.011734,SCBF,12
PNC,48.622762,SCBF,21
PNC,88.157029,SCBF,16.75
PNC,50.844551,SCBF,19.25
PNC,77.033954,SCBF,11.5
PNC,83.374443,SCBF,15.08333333
PNC,78.204956,SCBF,13.91666667
PNC,78.332636,SCBF,8.833333333
PNC,110.570054,SCBF,11.75
PNC,70.109877,SCBF,11.58333333
PNC,67.039058,SCBF,13.83333333
PNC,71.523582,SCBF,18.66666667
PNC,99.693876,SCBF,8.916666667
PNC,67.056342,SCBF,16.16666667
PNC,80.714076,SCBF,16.75
PNC,82.888069,SCBF,14.58333333
PNC,61.845798,SCBF,16.16666667
PNC,58.412215,SCBF,21
PNC,71.665354,SCBF,16.66666667
PNC,65.973172,SCBF,11.75
PNC,57.000059,SCBF,19
PNC,56.317204,SCBF,19.16666667
PNC,58.33033,SCBF,14.41666667
PNC,75.238254,SCBF,14.08333333
PNC,39.939483,SCBF,19.33333333
PNC,69.497297,SCBF,19.58333333
PNC,55.678412,SCBF,15.08333333
PNC,71.226894,SCBF,9.75
PNC,74.775342,SCBF,10.91666667
PNC,91.811833,SCBF,18.08333333
PNC,56.206759,SCBF,14.08333333
PNC,57.323817,SCBF,12.16666667
PNC,68.480579,SCBF,13.58333333
PNC,100.180295,SCBF,10
PNC,82.479485,SCBF,13.08333333
PNC,105.619568,SCBF,21.25
PNC,71.769548,SCBF,16.5
PNC,73.461138,SCBF,16.41666667
PNC,94.419683,SCBF,8.75
PNC,87.10912,SCBF,11.58333333
PNC,51.841455,SCBF,18.41666667
PNC,60.854521,SCBF,18.25
PNC,47.232457,SCBF,19.08333333
PNC,65.19707,SCBF,11.25
PNC,97.803767,SCBF,8.916666667
PNC,82.969475,SCBF,13
PNC,53.921956,SCBF,16.16666667
PNC,98.604476,SCBF,9.5
PNC,68.849041,SCBF,17.75
PNC,109.403265,SCBF,9.916666667
PNC,83.380963,SCBF,9.916666667
PNC,87.524684,SCBF,9.25
PNC,88.278302,SCBF,12.83333333
PNC,80.815687,SCBF,17
PNC,112.955738,SCBF,10.5
PNC,68.8047,SCBF,15.41666667
PNC,82.201804,SCBF,16.08333333
PNC,75.667337,SCBF,19.5
PNC,70.005413,SCBF,11.5
PNC,76.025504,SCBF,13.08333333
PNC,67.565745,SCBF,15.5
PNC,84.72004,SCBF,15.16666667
PNC,58.197674,SCBF,18.25
PNC,84.537827,SCBF,10.25
PNC,87.475242,SCBF,20.08333333
PNC,48.275553,SCBF,17.08333333
PNC,79.104203,SCBF,11.83333333
PNC,74.94875,SCBF,15.83333333
PNC,72.683372,SCBF,16.5
PNC,78.446119,SCBF,16.75
PNC,66.609613,SCBF,14.83333333
PNC,86.670082,SCBF,11.58333333
PNC,91.585882,SCBF,10.41666667
PNC,88.966931,SCBF,10.25
PNC,72.753769,SCBF,15
PNC,65.736666,SCBF,15.08333333
PNC,69.398181,SCBF,15
PNC,101.936359,SCBF,11.08333333
PNC,75.250297,SCBF,18.08333333
PNC,66.61754,SCBF,18.16666667
PNC,70.280877,SCBF,15.41666667
PNC,75.439785,SCBF,17.33333333
PNC,65.913039,SCBF,15.58333333
PNC,57.182794,SCBF,20.08333333
PNC,60.2555,SCBF,12.41666667
PNC,100.455188,SCBF,10
PNC,81.772739,SCBF,12.16666667
PNC,95.855367,SCBF,20.58333333
PNC,79.09693,SCBF,13.41666667
PNC,83.860322,SCBF,9.25
PNC,61.018269,SCBF,15.41666667
PNC,90.56294,SCBF,17.16666667
PNC,79.421439,SCBF,10.83333333
PNC,78.926941,SCBF,15.5
PNC,101.54002,SCBF,8.416666667
PNC,84.353001,SCBF,13.41666667
PNC,68.576908,SCBF,9.25
PNC,67.818518,SCBF,17.66666667
PNC,69.976899,SCBF,17.08333333
PNC,65.33885,SCBF,14.5
PNC,81.07632,SCBF,13.25
PNC,51.43716,SCBF,15.33333333
PNC,88.646438,SCBF,10.08333333
PNC,66.547727,SCBF,19.5
PNC,64.431267,SCBF,13.83333333
PNC,60.130469,SCBF,18.41666667
PNC,68.630018,SCBF,14.5
PNC,63.091918,SCBF,19.41666667
PNC,72.632281,SCBF,18.58333333
PNC,66.726192,SCBF,19.58333333
PNC,56.421071,SCBF,16.91666667
PNC,60.64038,SCBF,21.75
PNC,78.60866,SCBF,13.58333333
PNC,55.285474,SCBF,20.16666667
PNC,76.578389,SCBF,14.41666667
PNC,85.841127,SCBF,13.08333333
PNC,63.702783,SCBF,13.75
PNC,63.856528,SCBF,13.33333333
PNC,65.50403,SCBF,16.16666667
PNC,68.100996,SCBF,12.25
PNC,74.991381,SCBF,12.83333333
PNC,52.569911,SCBF,21.08333333
PNC,65.065459,SCBF,18.41666667
PNC,44.789517,SCBF,15.58333333
PNC,85.378629,SCBF,11.5
PNC,63.765861,SCBF,16.41666667
PNC,65.474794,SCBF,20.58333333
PNC,63.421198,SCBF,20.08333333
PNC,66.47674,SCBF,16.5
PNC,85.996451,SCBF,8.25
PNC,65.982676,SCBF,13.5
PNC,73.062719,SCBF,14.91666667
PNC,60.367792,SCBF,14.25
PNC,75.579208,SCBF,22.91666667
PNC,79.54902,SCBF,8.5
PNC,86.224992,SCBF,15.33333333
PNC,96.5521,SCBF,8.916666667
PNC,58.40407,SCBF,18.33333333
PNC,80.320066,SCBF,14.25
PNC,71.124585,SCBF,12
