Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.638491355,0.146372837
PNC,SCBF,0.648528188,0.142217246
PNC,SCBF,0.671455001,0.092364829
PNC,SCBF,0.607351062,0.128368103
PNC,SCBF,0.63760898,0.236491662
PNC,SCBF,0.534768554,0.066561986
PNC,SCBF,0.636738107,0.211863797
PNC,SCBF,0.76545427,0.087181481
PNC,SCBF,0.723630247,0.092313941
PNC,SCBF,0.732446295,0.102722334
PNC,SCBF,0.6458004,0.099420738
PNC,SCBF,0.605436853,0.106269401
PNC,SCBF,0.733869409,0.14472405
PNC,SCBF,0.705493053,0.105244276
PNC,SCBF,0.683402208,0.191582733
PNC,SCBF,0.640808737,0.089560389
PNC,SCBF,0.724375082,0.163784367
PNC,SCBF,0.768605696,0.184971471
PNC,SCBF,0.665034592,0.112785914
PNC,SCBF,0.695359051,0.159793012
PNC,SCBF,0.700619647,0.231894051
PNC,SCBF,0.652543324,0.10108014
PNC,SCBF,0.674414098,0.143400269
PNC,SCBF,0.504806763,0.164368766
PNC,SCBF,0.690345096,0.128820066
PNC,SCBF,0.648080168,0.121328519
PNC,SCBF,0.765316518,0.118855542
PNC,SCBF,0.376823276,0.248927408
PNC,SCBF,0.71749695,0.187207219
PNC,SCBF,0.588396757,0.092477009
PNC,SCBF,0.647459587,0.374022374
PNC,SCBF,0.64562499,0.331140802
PNC,SCBF,0.592925315,0.108516891
PNC,SCBF,0.670308411,0.187387732
PNC,SCBF,0.667028207,0.086125111
PNC,SCBF,0.709045305,0.114334505
PNC,SCBF,0.556133978,0.136384543
PNC,SCBF,0.641615657,0.166543327
PNC,SCBF,0.674469878,0.091179815
PNC,SCBF,0.73786457,0.068768067
PNC,SCBF,0.717243468,0.107264867
PNC,SCBF,0.644035222,0.188935277
PNC,SCBF,0.628145514,0.119050313
PNC,SCBF,0.727707927,0.090114805
PNC,SCBF,0.641435038,0.082993354
PNC,SCBF,0.678451551,0.072711669
PNC,SCBF,0.438853236,0.154111304
PNC,SCBF,0.734237043,0.10370335
PNC,SCBF,0.678678125,0.089258491
PNC,SCBF,0.71967066,0.183533969
