117397,10582,38.792823 ,35.943182 ,38.791850 ,35.891030 ,36.557585 ,34.332029 ,34.461302 ,32.198813 ,44.190699 ,43.097539
130211,10106,4.921731 ,4.352195 ,4.908061 ,4.340527 ,4.752384 ,4.272109 ,4.446975 ,3.977972 ,5.783644 ,5.317083
20963,11414,54.549161 ,52.394461 ,53.057353 ,50.941590 ,49.750448 ,47.795276 ,47.663554 ,45.714837 ,58.108815 ,57.794836
87445,11153,67.288746 ,58.146428 ,66.431241 ,57.393232 ,58.844374 ,55.374007 ,55.283904 ,51.924567 ,72.136944 ,68.282425
93549,10474,43.254066 ,38.974214 ,42.210548 ,37.988000 ,40.638377 ,37.136575 ,38.298446 ,34.407688 ,49.925823 ,47.708362
105309,10776,51.721650 ,45.994055 ,51.429288 ,45.788826 ,49.605777 ,44.558214 ,45.340980 ,41.156456 ,57.045302 ,54.522537
118393,10094,26.466100 ,23.481137 ,29.066110 ,25.484464 ,25.575303 ,23.896867 ,24.207830 ,21.486630 ,28.366144 ,26.375138
130687,10385,54.963035 ,47.052580 ,54.447449 ,46.628759 ,53.021626 ,46.509299 ,50.109875 ,43.441385 ,62.095881 ,55.261918
20974,11415,9.279010 ,8.638773 ,8.937974 ,8.333559 ,0.970906 ,0.826624 ,26.993661 ,32.892647 ,19.889210 ,27.658038
87457,10081,-8.085889 ,-7.360461 ,-11.866594 ,-10.560819 ,-10.258153 ,-9.652176 ,4.612343 ,3.495774 ,3.990293 ,3.194213
93723,10956,4.933402 ,7.395243 ,4.628353 ,7.005720 ,4.601529 ,6.440370 ,16.288114 ,14.803668 ,17.261013 ,15.240192
105767,10708,46.902719 ,43.038939 ,46.113681 ,42.515051 ,44.455688 ,41.539454 ,41.637067 ,38.684182 ,51.709212 ,50.369341
118864,10127,6.785488 ,6.169913 ,6.743668 ,6.123489 ,6.497492 ,5.974051 ,6.050399 ,5.437310 ,7.592034 ,7.266804
130759,10137,5.742863 ,4.848519 ,5.733342 ,4.844493 ,5.499790 ,4.716433 ,5.064778 ,4.357113 ,6.140045 ,5.501251
20981,11462,18.657400 ,16.059767 ,18.564743 ,16.122305 ,17.048682 ,16.088292 ,15.548973 ,14.424215 ,19.936092 ,19.425531
