sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
112126,9968,0.291500486425,0.0040844318870048,0.9855524508848312,0.9715164196950932,0.9826160196146017,1.0,0.9676940925490728,0.9374102052158162,0.9587199230737194,0.9698661760070874,0.8375026757946166,0.8391112626921031,0.8662040676246484,0.8629723326901982,0.8430848843581062,42.72927351763756,34.792662545329875,1.2281116302027018,0.2251045128095186,0.2358237753242577,0.1179118876621288,0.0,0.0
131224,10434,0.1072081432399999,0.0004589460512601,0.9936919939778552,0.9874630709794712,0.992144264131652,1.0,0.9732212272774456,0.9478392552827144,0.9657507612958244,0.973990841248304,0.2943734272437568,0.2951818466756101,0.8693738936857861,0.8150111050330732,0.6558920310011616,43.37556678184179,32.1725202581928,1.348217871454945,0.1562347427009081,0.1464700712821013,0.0292940142564202,0.0,0.0
127008,10573,0.12841921067375,0.0007083098032722,0.9950259286697004,0.990101095197978,0.993673387869207,1.0,0.9666346256541708,0.9354238584451288,0.957469274037138,0.9739787353105764,0.829328633509307,0.8301926685497927,0.8705886551067974,0.8537227757891083,0.7910525694211266,48.18148354580114,35.00933131589091,1.3762468957506573,0.0257554945054945,0.0257554945054945,0.0085851648351648,0.0,0.0
122522,10540,0.35857668494,0.001272276840562,0.9944225039839256,0.988906879801564,0.9928727152856932,1.0,0.9668386617671536,0.9358060798334428,0.9577067714849532,0.9731976389521346,0.7779174455753239,0.7838853308832544,0.8498947645077511,0.8457647776820495,0.7705249290758169,61.328084121543576,47.86364505515309,1.281308267493532,0.0874550578175104,0.0971722864639005,0.00971722864639,0.0,0.0
82790,10059,0.2068536364325,0.0011982652222731,0.9996414350148144,0.9992831270751584,0.9995506942470168,1.0,0.97906827958347,0.9589948671435344,0.9732226175878907,0.9863000339213026,0.8058322047879075,0.8074764933599209,0.8806124493401235,0.870129890664923,0.811730453262437,41.41310531189824,33.63175062265221,1.2313693026733197,0.0954016409082236,0.1049418049990459,0.0,0.0,0.0
126921,11262,0.108221632925,0.0007455912852502,0.9893478825669004,0.9789203084832904,0.98668077251087,1.0,0.9654122216423848,0.9331370830370284,0.9559408999566154,0.9739862940394608,0.7893962089265507,0.7895258858997046,0.8508558883009437,0.8332874600496757,0.7460209665216451,54.400900121575226,38.213535631993,1.4236028993880876,0.135795763172189,0.1448488140503349,0.0,0.0,0.0
97271,10366,0.2136292428842499,0.0007778923255497,0.9870412428192452,0.9744140477805412,0.9839337343118568,1.0,0.9671834267899514,0.9364522722402624,0.9580921450628264,0.9708298622236464,0.4954368849960471,0.4982839062201635,0.8597713045217329,0.8049719280288538,0.6413699253455146,56.046323671171024,45.118801598652766,1.2421944219556698,0.0,0.0,0.0,0.0,0.0
20320,11108,0.2363690356999999,0.0014389321130594,0.983252066991732,0.9670558798999166,0.979782786106091,1.0,0.951881067961165,0.908180397151624,0.9392218052385384,0.9734840425531917,0.3929222003362845,0.4060481466358001,0.8398875669645834,0.8022244110418312,0.7648566321985355,55.47081284678054,40.92931530583771,1.355283185958129,0.1428100626167197,0.1537954520487751,0.0878831154564429,0.0,0.0
130121,10786,0.3205727021249999,0.0045050765702254,0.992400798373954,0.9849162214226004,0.990446891100608,1.0,0.9681023930668872,0.9381767983203002,0.959305414518401,0.9737964289697896,0.2413108382527914,0.2516831966123187,0.8776663046283671,0.7811954600914847,0.685492794721866,47.4705923699513,39.68937012145648,1.1960530546260348,0.0707785642062689,0.0707785642062689,0.0202224469160768,0.0,0.0
110168,10095,0.8749681065224999,0.0038163957820857,0.9896039288219912,0.9794217901780078,0.987410186329094,1.0,0.9709853392430958,0.943606905006461,0.9629721067886804,0.9759766963673748,0.8051506106256215,0.7744429841623443,0.8532298352458123,0.8429529405663205,0.8151780077937452,60.328004438056674,45.85247346176725,1.3156979304150174,0.1444604956106234,0.1444604956106234,0.0444493832648072,0.0,0.0
89279,10816,0.1363795515574999,0.0019978785895627,0.9902570254844222,0.9807020702070208,0.98774468025936,1.0,0.9660494091270826,0.9343284076190632,0.956760443397994,0.9748838534740332,0.7612771981471212,0.7643179392967521,0.8276108906790284,0.8270460705084612,0.7813130143199938,51.74552448751591,36.23384846118356,1.4280990478543736,0.290316538677655,0.290316538677655,0.0936504963476306,0.0,0.0
93051,10149,0.1787722651375,0.0013518320587084,0.998018712162906,0.99604525980446,0.997501689482555,1.0,0.968489519164592,0.9389041964752738,0.9597321513236432,0.9703776540498203,0.7791243783819621,0.779827233940193,0.8535830505980381,0.8539140752059557,0.7550834327210225,71.90033047526332,54.3251092547428,1.323519298196094,0.0,0.018896447467876,0.0,0.0,0.0
128061,10153,0.374849557825,0.0037912303677879,0.9919131819324564,0.9839561079014092,0.990161449669234,1.0,0.9698516462195158,0.9414679377589754,0.9615354026170914,0.9753960561640664,0.8099522338330679,0.8062866508757788,0.8514281837564688,0.8592844918713363,0.8392422216678684,40.09070492028116,28.98458620972429,1.3831732711378426,0.3219920575292476,0.3756574004507889,0.1502629601803155,0.0,0.0
92182,10905,0.20499351230875,0.000776607713386,1.0,1.0,1.0,1.0,0.9734746109314456,0.9483200525753718,0.9660536368527556,0.9789603120759836,0.8285882865778375,0.8295968948597462,0.8855657249395616,0.8886089710190689,0.8262787431422542,67.48011372484622,58.79030400090801,1.1478102532656405,0.0,0.0,0.0,0.0,0.0
95015,10380,0.3249579749624999,0.0025214793173388,0.9830718264225128,0.966707238490728,0.9788096308561468,1.0,0.9649559481763448,0.9322849075613528,0.9554530855825186,0.976772573652705,0.3826935206036306,0.3808789233313639,0.834972632053208,0.8007833803812829,0.7554295408929694,68.5104013993713,53.684550031795055,1.2761660730842586,0.0590260698475159,0.0590260698475159,0.0196753566158386,0.0,0.0
95460,10586,0.1266453538249999,0.0007798608778386,0.9707276173811606,0.943120240835842,0.9636483080418032,1.0,0.9476013634928068,0.9004205541711854,0.9340682373957993,0.974264919941776,0.793251222934083,0.7940424129681011,0.8319754419765326,0.820797088340943,0.754196116462139,49.05879740924318,37.42217258192009,1.3109553514523935,0.1389250672918294,0.1389250672918294,0.0607797169401753,0.0,0.0
