sub,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
1016,0,0,0.999941891835803,0.999883790424331,0.9999288076894272,1.0,0.9390707640685946,0.8851398682063565,0.9249563456206312,0.9879999812719176,0.8644097719011095,0.8644097719011095,0.8644097719011095,0.8714883711913087,0.8764464684226223,29.34271280623921,25.84435038962313,1.1353627529373198,0.0,0.0,0.0,0.0,0.0
1287,0,0,0.9999951072251606,0.9999902144981996,0.9999942033582596,1.0,0.9830798082054808,0.966722675130168,0.9783538962820392,0.9880172998643147,0.8611021558392048,0.8611021558392048,0.8611021558392048,0.8626206460960913,0.8683281059346625,58.76769635426004,40.55756006145126,1.4489948671768589,0.0026830511657857,0.0026830511657857,0.0026830511657857,0.0,0.0
1875,0,0,1.0,1.0,1.0,1.0,0.9826629344549656,0.965916772066599,0.9778201688296152,0.9876441655359566,0.8983153272631093,0.8983153272631093,0.8983153272631093,0.899828004836572,0.9009655901455742,37.4245621587922,28.608873484161,1.3081452570829786,0.0,0.0,0.0,0.0,0.0
1871,0,0,1.0,1.0,1.0,1.0,0.9815034909924302,0.9636787974352647,0.9763963077145356,0.9860948239704864,0.8251053185859577,0.8251053185859577,0.8251053185859577,0.8284034842324975,0.8197977028944756,16.658906420547893,14.85124445739318,1.1217178781442003,0.0126087504728281,0.0126087504728281,0.0126087504728281,0.0,0.0
1044,0,0,1.0,1.0,1.0,1.0,0.9839285752272442,0.9683655609617204,0.9794778873820668,0.9872699563285222,0.8350013382854979,0.8350013382854979,0.8350013382854979,0.832959019178879,0.826741333958292,52.72062893607023,44.21536328943764,1.1923599630055366,0.0070094276802299,0.0070094276802299,0.0070094276802299,0.0,0.0
1592,0,0,1.0,1.0,1.0,1.0,0.9829822860291574,0.966534085420403,0.978327639331005,0.990304589935364,0.817239356546594,0.817239356546594,0.817239356546594,0.8163798475530594,0.8214599375363395,31.653344544136896,27.512979387539765,1.1504877061214331,0.0,0.0,0.0,0.0,0.0
1187,0,0,1.0,1.0,1.0,1.0,0.981937175565196,0.9645153049472523,0.9769628750792284,0.9873995155308796,0.8136788027370149,0.8136788027370149,0.8136788027370149,0.825786709784983,0.83617027723393,17.724430808126,16.01086313891977,1.107025314896411,0.0,0.0,0.0,0.0,0.0
1755,0,0,0.9998935906075976,0.9997872038587032,0.999874736782135,1.0,0.9839611989870232,0.9684287627657794,0.9795147906637351,0.9868632627731312,0.8562750292005953,0.8562750292005953,0.8562750292005953,0.8566357192158575,0.8536223412886511,23.60889296639036,21.192522783315848,1.114019940324275,0.0,0.0,0.0,0.0,0.0
1317,0,0,1.0,1.0,1.0,1.0,0.9834704790637367,0.9674785225695384,0.9788599278124628,0.9841460312075984,0.8718539930221578,0.8718539930221578,0.8718539930221578,0.8693575185001319,0.8740471694109301,48.367966467837306,36.67792140202364,1.318721580148451,0.0,0.0,0.0,0.0,0.0
1417,0,0,0.9998760164071622,0.9997520635543756,0.9998545436708192,1.0,0.9836821964764012,0.96788838399362,0.9791242687263016,0.9880554613297152,0.8888023518869976,0.8888023518869976,0.8888023518869976,0.8830737275790956,0.8928083867380469,62.1205963674741,44.80213963393489,1.3865542332362522,0.0,0.0,0.0,0.0,0.0
