A00054534,BAS1
A00054578,BAS1
A00054578,TRT
A00054581,BAS1
A00054581,FLU1
A00054581,FLU2
A00054581,TRT
A00055076,BAS1
A00055076,FLU1
A00055076,TRT
A00055116,BAS1
A00055122,BAS1
A00055122,FLU1
A00055122,FLU2
A00055122,TRT
A00055215,BAS1
A00055262,BAS1
A00055262,FLU1
A00055262,FLU2
A00055262,TRT
A00055267,BAS1
A00055267,FLU1
A00055267,FLU2
A00055267,TRT
A00055332,BAS1
A00055462,BAS1
A00055462,FLU1
A00055462,FLU2
A00055462,TRT
A00055541,BAS1
A00055612,BAS1
A00055612,FLU1
A00055612,FLU2
A00055612,TRT
A00055624,BAS1
A00055624,FLU1
A00055693,BAS1
A00055693,FLU1
A00055693,FLU2
A00055693,TRT
A00055727,BAS1
A00055727,FLU2
A00055727,TRT
A00055728,BAS1
A00055728,FLU2
A00055728,TRT
A00055738,BAS1
A00055765,BAS1
A00055832,BAS1
A00055832,FLU1
A00055866,BAS1
A00055866,TRT
A00055867,BAS1
A00055867,TRT
A00055903,BAS1
A00055903,TRT
A00055906,BAS1
A00055907,BAS1
A00055907,BAS1
A00055907,FLU2
A00055907,TRT
A00055908,BAS1
A00055908,FLU1
A00055908,TRT
A00055920,BAS1
A00055920,FLU1
A00055920,FLU2
A00055920,TRT
A00055921,FLU1
A00055921,FLU2
A00055921,TRT
A00055946,BAS1
A00055946,FLU1
A00055946,FLU2
A00055946,TRT
A00055991,BAS1
A00055991,TRT
A00056020,BAS1
A00056020,FLU1
A00056020,FLU2
A00056020,TRT
A00056022,BAS1
A00056022,FLU1
A00056022,FLU2
A00056022,TRT
A00056138,BAS1
A00056138,FLU1
A00056138,TRT
A00056198,BAS1
A00056198,FLU1
A00056198,FLU2
A00056198,TRT
A00056295,FLU1
A00056295,FLU2
A00056295,TRT
A00056307,BAS1
A00056307,FLU1
A00056307,FLU2
A00056419,BAS1
A00056419,FLU2
A00056419,TRT
A00056420,BAS1
A00056420,FLU1
A00056420,FLU2
A00056420,TRT
A00056453,BAS1
A00056470,BAS1
A00056470,TRT
A00056605,BAS1
A00056605,FLU1
A00056605,FLU2
A00056605,TRT
A00056627,BAS1
A00056628,BAS1
A00056679,BAS1
A00056679,FLU1
A00056679,FLU2
A00056679,TRT
A00056703,BAS1
A00056746,BAS1
A00056746,FLU2
A00056746,TRT
A00056830,BAS1
A00056830,FLU2
A00056898,BAS1
A00056919,BAS1
A00056920,BAS1
A00056920,TRT
A00057005,BAS1
A00057035,BAS1
A00057076,BAS1
A00057076,FLU1
A00057076,FLU2
A00057076,TRT
A00057182,BAS1
A00057203,BAS1
A00057235,BAS1
A00057405,BAS1
A00057405,FLU1
A00057405,FLU2
A00057405,TRT
A00057406,BAS1
A00057444,BAS1
A00057480,BAS1
A00057480,FLU1
A00057480,FLU2
A00057480,TRT
A00057725,BAS1
A00057725,FLU1
A00057725,FLU2
A00057725,TRT
A00057726,FLU2
A00057726,TRT
A00057786,BAS1
A00057809,BAS1
A00057809,FLU1
A00057809,FLU2
A00057809,TRT
A00057862,BAS1
A00057862,FLU1
A00057862,FLU2
A00057862,TRT
A00057863,BAS1
A00057863,FLU2
A00057863,TRT
A00057967,BAS1
A00058004,BAS1
A00058004,FLU1
A00058004,FLU2
A00058004,TRT
A00058053,BAS1
A00058053,FLU1
A00058053,TRT
A00058060,BAS1
A00058060,TRT
A00058061,BAS1
A00058061,TRT
A00058214,BAS1
A00058215,BAS1
A00058215,FLU1
A00058215,FLU2
A00058215,TRT
A00058229,BAS1
A00058229,FLU1
A00058229,FLU2
A00058229,TRT
A00058515,BAS1
A00058516,BAS1
A00058516,TRT
A00058537,BAS1
A00058537,FLU2
A00058570,BAS1
A00058570,FLU1
A00058621,BAS1
A00058667,BAS1
A00058685,BAS1
A00058685,FLU2
A00058951,BAS1
A00058999,BAS1
A00059109,BAS1
A00059325,BAS1
A00059325,FLU1
A00059325,TRT
A00059326,BAS1
A00059326,FLU1
A00059326,FLU2
A00059327,BAS1
A00059327,FLU1
A00059327,FLU2
A00059327,TRT
A00059427,BAS1
A00059527,BAS1
A00059733,BAS1
A00059733,FLU1
A00059734,BAS1
A00059865,BAS1
A00059865,FLU1
A00059865,FLU2
A00059865,TRT
A00059875,BAS1
A00059935,BAS1
A00059990,BAS1
A00060099,BAS1
A00060099,FLU1
A00060099,FLU2
A00060099,TRT
A00060100,BAS1
A00060100,FLU1
A00060100,FLU2
A00060100,TRT
A00060169,BAS1
A00060280,BAS1
A00060280,FLU1
A00060280,FLU2
A00060280,TRT
A00060302,BAS1
A00060384,BAS1
A00060384,FLU1
A00060384,FLU2
A00060384,TRT
A00060429,BAS1
A00060429,FLU1
A00060429,FLU2
A00060429,TRT
A00060471,BAS1
A00060472,BAS1
A00060472,FLU1
A00060472,TRT
A00060493,BAS1
A00060493,FLU1
A00060493,FLU2
A00060493,TRT
A00060503,BAS1
A00060503,FLU1
A00060503,FLU2
A00060503,TRT
A00060516,BAS1
A00060576,BAS1
A00060582,BAS1
A00060582,BAS1
A00060603,BAS1
A00060603,FLU1
A00060603,FLU2
A00060603,TRT
A00060628,BAS1
A00060629,BAS1
A00060664,BAS1
A00060664,FLU1
