A00063000,BAS1,26.759737 ,12.482619 ,26.763996 ,11.980307 ,34.965912 ,22.745988 ,45.602990 ,26.746419
A00035072,BAS2,59.112796 ,27.367946 ,57.933565 ,26.747104 ,62.935686 ,36.424533 ,75.693557 ,50.675442
A00063003,BAS1,52.167126 ,24.614169 ,49.860228 ,23.559617 ,57.028494 ,36.509402 ,71.009969 ,50.622721
A00035291,FLU1,66.527429 ,33.324315 ,65.848256 ,33.309344 ,73.102499 ,43.440604 ,89.169815 ,61.424902
A00063006,BAS1,82.815710 ,44.610626 ,82.532032 ,45.011082 ,90.486490 ,55.256467 ,108.751951 ,79.379924
A00035292,FLU1,57.403991 ,26.431444 ,54.406327 ,25.683289 ,61.386917 ,35.906535 ,73.950444 ,49.303718
A00063008,BAS1,63.508079 ,39.580394 ,63.812888 ,40.208528 ,69.468372 ,49.210974 ,86.485945 ,71.880387
A00035364,FLU1,55.527972 ,23.467400 ,54.842473 ,23.550267 ,59.413076 ,33.595316 ,73.239574 ,45.331188
A00063031,BAS1,67.892637 ,38.506454 ,67.439840 ,38.553069 ,70.713411 ,46.535758 ,84.364178 ,67.651944
A00035377,FLU1,69.672165 ,34.077035 ,69.585029 ,33.897525 ,73.357132 ,43.094036 ,88.752933 ,59.943684
A00063103,BAS1,67.831097 ,28.747281 ,66.845822 ,28.617467 ,70.966296 ,38.870868 ,83.991599 ,53.039799
A00035561,FLU1,75.836523 ,38.102123 ,77.635656 ,38.313492 ,81.357519 ,51.345014 ,99.962593 ,72.147824
A00063110,BAS1,40.487406 ,35.228178 ,41.110336 ,32.344425 ,46.200940 ,39.943474 ,53.269311 ,60.023873
A00035827,BAS2,60.254305 ,32.210162 ,59.090012 ,32.004597 ,65.061997 ,41.402011 ,77.318270 ,58.726165
A00063326,BAS1,39.295959 ,22.841630 ,39.759460 ,23.025876 ,45.196858 ,30.899916 ,53.402328 ,44.561574
A00035840,BAS2,57.977468 ,28.163282 ,57.328998 ,28.381806 ,59.678030 ,35.712613 ,72.878780 ,50.766958
A00063327,BAS1,97.999840 ,45.881864 ,85.516528 ,36.415746 ,111.438171 ,72.473325 ,142.095805 ,96.740594
A00035940,FLU1,49.549901 ,19.440814 ,50.579685 ,20.844408 ,49.513284 ,27.928560 ,60.099218 ,36.753490
A00063329,BAS1,82.806131 ,44.581699 ,85.024736 ,44.748283 ,90.274098 ,59.224703 ,111.615421 ,84.911199
A00035945,FLU1,63.600268 ,34.877212 ,63.448962 ,34.059125 ,68.792259 ,44.916494 ,83.717450 ,64.895738
A00063368,BAS1,40.745805 ,23.635891 ,42.966986 ,25.774956 ,46.776835 ,33.449972 ,57.599891 ,48.193779
A00037112,BAS2,45.736699 ,30.629801 ,46.235051 ,30.836536 ,50.015921 ,36.420749 ,58.976017 ,54.494799
A00063383,BAS1,107.043627 ,68.243383 ,54.392155 ,29.321599 ,103.404101 ,81.910931 ,127.799480 ,113.351457
A00037126,BAS2,60.134747 ,28.753738 ,59.978973 ,29.308301 ,65.927966 ,39.791486 ,80.987071 ,56.651113
A00063424,BAS1,61.522514 ,35.759741 ,62.524761 ,37.427990 ,71.766909 ,45.902945 ,86.455017 ,66.784587
A00037229,BAS2,82.799910 ,65.718718 ,51.670545 ,34.610085 ,93.913990 ,82.516829 ,116.943766 ,122.598644
A00063425,BAS1,80.054364 ,56.368689 ,79.039253 ,56.118422 ,89.152770 ,66.331625 ,108.201062 ,102.304708
A00037267,BAS2,42.621019 ,27.173876 ,42.178824 ,27.189509 ,48.391106 ,33.678431 ,56.397966 ,49.037359
A00063450,BAS1,55.294481 ,32.583484 ,57.318824 ,34.093936 ,58.183752 ,39.879379 ,68.929826 ,57.657706
A00037457,BAS2,37.172534 ,26.565823 ,36.596386 ,26.449154 ,42.281932 ,33.355233 ,47.979608 ,47.879353
A00063455,BAS1,36.621465 ,18.014645 ,37.012716 ,18.452912 ,39.008895 ,25.684178 ,47.317764 ,34.640994
A00037511,BAS2,53.340756 ,28.498889 ,53.020995 ,28.599392 ,57.339602 ,36.935949 ,69.413941 ,51.790185
