sub,ses,task,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00008326,FLU1,rest,0.18229821923749998,0.0006787116755461675,0.9897942476668669,0.9797947055645596,0.9875341838603467,1.0,0.9690181353359432,0.9398983324034468,0.9613203334143258,0.9821532681220444,0.3564161601518066,0.42469566587377294,0.6073284014155858,0.6471262334223611,0.6511337577639364,78.35052730160794,61.44572152088232,1.275117703272156,8.064984044096315,6.715984914418336,2.886568030171164,0.0,0.0
A00018030,FLU1,rest,0.12210437091250001,0.0005358484317726937,0.9870219131559796,0.9743763719816404,0.9828074728215228,1.0,0.9694613926369616,0.9407327253053022,0.9617917421452666,0.9795892086794152,0.3923321042304444,0.3654136634130851,0.47499124484074,0.5736025428761458,0.5667618842589363,57.91357149024553,67.50881403552184,0.8578668180983379,8.177215189873417,8.911392405063289,5.291139240506329,0.0,0.0
A00018030,TRT,rest,0.08387402152749998,0.0008588762309985013,0.9915973159771898,0.983334665494365,0.988822941893429,1.0,0.9716717479674796,0.9449042618900556,0.9644906568045872,0.9786022709099632,0.4664255807793601,0.4803661592083918,0.550924622325524,0.5875398810486434,0.529766878558974,64.56812381744385,76.33540282117376,0.8458476857547159,7.807652533609102,7.083764219234745,4.498448810754912,0.0,0.0
A00027159,FLU1,rest,0.15339712903757274,0.0007130014089031496,0.99413484133504,0.988338081671415,0.992038603720212,1.0,0.9721078813114858,0.9457294823427548,0.965055904026758,0.9799102851650112,0.4642630424553186,0.4759335049172749,0.5852381445073624,0.6332175822679433,0.5610757502285892,58.525120792286025,67.14804296720763,0.8715834178647217,13.27700663850332,13.00543150271575,7.724803862401933,0.0,0.0
A00027159,TRT,rest,0.128156848901,0.0006947338080853997,0.9930538375168896,0.9862035077109162,0.9905648643028836,1.0,0.9735105640505044,0.9483882931050468,0.9667780998073338,0.9793827593910572,0.4658868991631357,0.4989460010711093,0.5987429956675792,0.6626306192748082,0.5295543869507394,54.83583668427783,60.16302647292136,0.9114540923063232,12.975981253661395,10.222612770943176,5.828939660222613,0.0,0.0
A00027167,FLU1,rest,0.12544278968625,0.0006227013711175429,0.858104398882975,0.7514736006019815,0.8341808818659547,1.0,0.8544792113159023,0.7459307764265669,0.8340210004339297,0.9852147769861208,0.0,0.0,0.0,0.1773196609226381,0.15929136063904886,-18.73970893099229,-33.67062747823892,0.5565595397087156,45.64954682779457,45.64954682779457,47.280966767371595,0.0,0.0
A00027167,TRT,rest,0.07706843617128542,0.0005341794858284119,0.8732031752842737,0.774942878903275,0.8505361713154344,1.0,0.8711104817869659,0.7716525556600815,0.8524816963242794,0.9927784725864364,0.0,0.0,0.0,0.12817486220389762,0.11500364591934613,-22.029395444363423,-38.175328409148726,0.5770584396356907,44.84332217827807,44.356556130209924,46.48615759050806,0.0,0.0
A00028339,FLU1,rest,0.15226720026249999,0.0006809533305493344,0.9983858302067884,0.9967768631037938,0.9978972093784124,1.0,0.9730346697103724,0.9474854126146152,0.9661705027926007,0.9783232387631496,0.12419812844275305,0.13628709725114208,0.23138072436200546,0.5066364112817723,0.5414816482143232,22.265869762400573,35.099377434274125,0.6343665155911915,21.38818483135114,21.50516669916163,17.098849678299867,0.0,0.0
A00031452,FLU1,rest,1.5543080925,0.01816056062078509,0.9953223600017652,0.9906882768919928,0.9939394453150984,1.0,0.9505481120584652,0.9057567316620242,0.9389662197041072,0.9799424055719259,0.003116469008158591,0.14424516023107434,0.26012642450423834,0.41847802034574666,0.4260838896391249,27.69966549443585,27.60319375244658,1.0034949485503184,40.66523605150215,23.15450643776824,19.592274678111586,0.0,0.0
A00031794,FLU1,rest,0.186540320885,0.001573119400402111,0.9966759129776942,0.9933738518484668,0.9957372190544704,1.0,0.9729148209087456,0.9472581638940234,0.9659888872512244,0.9762199574562656,0.22332667797500053,0.21229385467657105,0.3333485902731677,0.6597143070255583,0.5239114441251623,46.081573306283424,44.74577695861661,1.0298530149314924,11.67298777918247,11.967973029919937,9.734513274336283,0.0,0.0
