subject,session,AcqGroup
sub-A00065478,FLU1,1
sub-A00065478,BAS1,1
sub-A00064505,FLU1,1
sub-A00064505,BAS1,1
sub-A00064503,TRT,1
sub-A00064503,FLU1,1
sub-A00063383,TRT,1
sub-A00063383,BAS1,1
sub-A00063368,BAS1,1
sub-A00063329,FLU1,1
sub-A00063329,BAS1,1
sub-A00063327,TRT,1
sub-A00063327,FLU1,1
sub-A00063327,BAS1,1
sub-A00063326,BAS1,1
sub-A00063110,FLU1,1
sub-A00063110,BAS2,1
sub-A00063110,BAS1,1
sub-A00063103,BAS1,1
sub-A00063031,BAS1,1
sub-A00063008,BAS1,1
sub-A00063006,TRT,1
sub-A00063006,FLU1,1
sub-A00063006,BAS1,1
sub-A00063003,TRT,1
sub-A00063424,BAS1,1
sub-A00063424,BAS2,1
sub-A00063425,BAS1,1
sub-A00064058,FLU2,1
sub-A00064503,BAS1,1
sub-A00064416,BAS1,1
sub-A00064415,BAS1,1
sub-A00064323,BAS1,1
sub-A00064081,FLU2,1
sub-A00064081,FLU1,1
sub-A00064081,BAS1,1
sub-A00064061,BAS1,1
sub-A00064058,BAS1,1
sub-A00063450,BAS1,1
sub-A00064053,BAS1,1
sub-A00063589,BAS1,1
sub-A00063481,BAS1,1
sub-A00063479,BAS1,1
sub-A00063473,BAS1,1
sub-A00063470,BAS1,1
sub-A00063458,BAS1,1
sub-A00063455,BAS1,1
sub-A00065749,BAS1,1
sub-A00065792,BAS1,1
sub-A00066589,FLU2,1
sub-A00066460,FLU1,1
sub-A00066419,BAS1,1
sub-A00066396,TRT,1
sub-A00066396,FLU2,1
sub-A00066396,FLU1,1
sub-A00066396,BAS1,1
sub-A00066389,FLU2,1
sub-A00066389,FLU1,1
sub-A00066389,BAS1,1
sub-A00066319,BAS1,1
sub-A00066314,TRT,1
sub-A00066314,FLU1,1
sub-A00066314,BAS1,1
sub-A00066302,FLU2,1
sub-A00066302,BAS1,1
sub-A00066282,BAS1,1
sub-A00066245,FLU2,1
sub-A00066245,FLU1,1
sub-A00066245,BAS1,1
sub-A00066460,BAS1,1
sub-A00065792,FLU1,1
sub-A00066534,FLU2,1
sub-A00066589,FLU1,1
sub-A00066589,BAS1,1
sub-A00066584,TRT,1
sub-A00066584,BAS1,1
sub-A00066582,TRT,1
sub-A00066582,BAS1,1
sub-A00066581,TRT,1
sub-A00066581,BAS1,1
sub-A00066580,TRT,1
sub-A00066580,BAS1,1
sub-A00066573,TRT,1
sub-A00066573,FLU1,1
sub-A00066573,BAS1,1
sub-A00066572,TRT,1
sub-A00066572,FLU2,1
sub-A00066572,FLU1,1
sub-A00066572,BAS1,1
sub-A00066539,BAS1,1
sub-A00066534,TRT,1
sub-A00066237,BAS1,1
sub-A00066236,BAS1,1
sub-A00065978,BAS1,1
sub-A00065975,FLU1,1
sub-A00065975,BAS1,1
sub-A00065974,FLU2,1
sub-A00065974,FLU1,1
sub-A00065974,BAS1,1
sub-A00065962,FLU2,1
sub-A00065962,BAS1,1
sub-A00065935,FLU2,1
sub-A00065935,BAS1,1
sub-A00065873,BAS1,1
sub-A00065865,BAS1,1
sub-A00065820,BAS1,1
sub-A00065802,TRT,1
sub-A00065802,FLU2,1
sub-A00065802,FLU1,1
sub-A00065802,BAS1,1
sub-A00065792,TRT,1
sub-A00065978,FLU1,1
sub-A00065991,BAS1,1
sub-A00065991,FLU1,1
sub-A00066091,BAS1,1
sub-A00066232,BAS1,1
