sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00034350,TRT,0.1154724900749999,0.0007601546558193,0.992677998776577,0.9854624415737367,0.9899598020022676,1.0,0.9725306563178208,0.9465300958104768,0.9650154937627652,0.9809096594707672,0.5902764923629025,0.5889162058369573,0.723167426768008,0.7486408786673626,0.7270265191971031,55.864611055596605,37.94713360698171,1.47216945643869,4.174365865949941,4.283554510330926,1.285066353099278,0.0,0.0
A00034350,FLU1,0.1715462435999999,0.0038154657502362,0.9942695542159709,0.9886044102412314,0.9921445478717836,1.0,0.971479573381506,0.9445408649544048,0.9636995253518972,0.9808660624370594,0.5814938614473376,0.5805085961846205,0.6835905216985082,0.7492237106149674,0.7268428939045186,65.65038515626222,40.90228068877538,1.6050543894066605,3.161089100564781,3.262243951782854,1.3824496333136644,0.0,0.0
A00063003,TRT,0.2647629971249999,0.0011334363223526,0.9964945592638574,0.9930136089076488,0.9951526544853638,1.0,0.9733151937495202,0.948017529648784,0.965959677008972,0.979001870313492,0.1970656308596748,0.1870127403645612,0.3662738635576172,0.7857732838525024,0.776180018415891,44.4674169838276,29.28226863482092,1.5185782747361765,7.511827749348267,8.062180168002318,5.291107463551222,0.0,0.0
A00063003,BAS1,0.1929070172474999,0.003929972938284,0.9969983081373136,0.9940145826531722,0.9958420335873152,1.0,0.9761710204880706,0.9534512501818636,0.9695722309476004,0.9798156280436752,0.3084305467209367,0.2855308530565779,0.4953635368589913,0.7985890344978387,0.7844466118073982,49.32131624300533,25.784269699808718,1.9128451888389624,3.552123552123552,4.111969111969112,2.22972972972973,0.0,0.0
A00063003,FLU1,0.2121360682531249,0.0004131037254975,0.996194118182646,0.9924170960017415,0.9947329983504468,1.0,0.974052899951204,0.9494182496396512,0.966888341646002,0.9790157670874364,0.2812337628431082,0.2766341371753723,0.4690512298025273,0.7675901459904289,0.7746463864159244,45.475305221534,25.46729978857644,1.7856351320736528,8.692709340553083,9.098820344227422,6.05298781666989,0.0,0.0
A00052319,BAS1,0.055758431742767,0.0002373928248076,0.9955112219451372,0.9910625620655412,0.9944478857792544,1.0,0.9773808108429438,0.955762243859904,0.9710896329886984,0.9787605878150832,0.6515600392205025,0.6512219057741986,0.7453745273923698,0.7462609966794939,0.7432488755840302,54.39573740901644,41.42506045847078,1.3131118411655416,2.766013763896241,2.792482795129698,0.8999470619375332,0.0,0.0
A00074769,BAS1,0.3798427455424999,0.0007922168727006,0.9951196025649444,0.9902866103319105,0.9936620796436956,1.0,0.97461155312395,0.9504803336659416,0.967695508956253,0.9840884235825036,0.5420194631661833,0.5472468027001569,0.6173756321555098,0.789722761092526,0.7977838223806183,43.38231211279562,32.20291954706478,1.3471546283060478,4.8062015503875966,4.651162790697675,4.186046511627907,0.0,0.0
A00074769,FLU1,0.406167310205,0.0012709738462785,0.9941219206129054,0.9883125410374262,0.9923849454274468,1.0,0.9716164896724748,0.9447997560394849,0.9639740426122444,0.9845763390680504,0.2958552128411488,0.4517276279275914,0.5787638749403539,0.7791841887443659,0.7702181929969903,51.04703010461297,37.75880047793832,1.351924040448231,12.386156648451731,7.754358574030705,4.72287275565964,0.0,0.0
A00075674,BAS1,0.1866473112637499,0.0011990384491116,0.9939388855099516,0.9879508025849488,0.992030189492782,1.0,0.9756859569298966,0.9525261940230192,0.9689760075382527,0.9807965037811436,0.3691693374520886,0.3912513182028942,0.5270427024520732,0.6851393218296605,0.686009113046989,38.57379475233781,25.049547785232505,1.5398998450214847,12.539222785421192,11.0789283128168,6.444605358435916,0.0,0.0
A00064081,BAS1,0.1271309815999999,0.002258143982541,0.991972061923724,0.9840719929021082,0.9895080506733982,1.0,0.9753543739075332,0.9518943418780714,0.9685190133725108,0.9782959228071972,0.6290679254874739,0.6334429962966437,0.7446915694557821,0.743747940453493,0.7471757252680279,69.78344864707618,52.10238205833931,1.3393523652899266,2.5359835503769705,2.478866803746859,0.4912040210189627,0.0,0.0
