sub,SCBF,BASIL,SCRUB,PVCGM,PVCWM
8.0,0.18580110926218527,0.18747857007473911,0.19006883720499607,0.15367824805907998,0.27762760119308993
18.0,0.20704053769767541,0.20947984689013224,0.2174045311706805,0.15167167936338694,0.25686070467673533
28.0,0.2392678825787143,0.24523379972835135,0.2392924285620535,0.2106816139501878,0.3018954746611442
38.0,0.13764958867910398,0.15410589541386077,0.13511815512625872,0.14584015649521215,0.11586488834976541
48.0,0.15676676933232675,0.13093182582764912,0.19805246914386002,0.14324551484084666,0.0676801332439508
58.0,0.03019815757582054,0.03646929323190806,0.05454423655544074,0.04316405266243022,0.06085797109474551
9.0,0.1105561866654507,0.09546410169310118,0.12292253293891439,0.054658447902657094,0.21970440762945986
19.0,0.18863499063981695,0.1874979118670822,0.19953772983035567,0.14468711590511202,0.26627848795086795
29.0,0.1857828276401623,0.17723748716175255,0.1974650245411098,0.11778765359782155,0.23425826365706515
39.0,0.1029917594777404,0.10516761495195916,0.14180945289802005,0.12123968731458896,0.11872352567694225
49.0,0.2231538359375343,0.18940267294143842,0.2082065102080225,0.15717689207829563,0.20538950498944478
59.0,0.25185197688185834,0.19900359348188384,0.2483495092474386,0.16537832619476192,0.1818026069669357
10.0,0.22132965428849435,0.2025404684490445,0.23397688014647344,0.17783536501777436,0.26438137407027756
20.0,0.2809890902291635,0.27894602684410913,0.27858442304634756,0.21303540443513572,0.38525388149505563
30.0,0.22916875666670494,0.2297419923001907,0.23164561534166872,0.18478522170849054,0.2586773260606926
40.0,0.1843559552619175,0.19119421679792695,0.18507155869581904,0.19716958942300533,0.16767559905616974
50.0,0.028056101670234965,0.03898468023318601,0.03292607218538879,0.05074485462284219,-0.00894079435432677
60.0,0.14951944523955962,0.14632113903839802,0.14946066926109508,0.0758698540118564,0.1745209249396683
1.0,0.11245884365736933,0.11903344165769371,0.11126116417422476,0.06071436822729798,0.22568978286593105
11.0,0.13517496661226386,0.12974112470715551,0.1425370912267082,0.12734526841978394,0.18251872077472392
21.0,0.23306439933014708,0.24125775245961223,0.2407102636084885,0.22447134428680418,0.2835880452431632
31.0,0.28165738138263674,0.2730191545974668,0.28354397086535765,0.21511203899259493,0.37431138459265767
41.0,0.1928020434714617,0.1758026743731,0.18124992275647228,0.1690020426615997,0.22560576766500393
51.0,0.005928550842604776,0.0065922061546671434,0.008452108646181355,0.03265909139379485,-0.04743792189719416
61.0,0.026086714350244407,0.007981641193025094,0.03729375259854087,0.03171662830394976,-0.08647319715402194
2.0,0.20239892303944607,0.20619460587106037,0.21096557908977398,0.15034347559521702,0.2719000293893756
12.0,0.23872269670724114,0.2365717293390123,0.23452090904294992,0.2245218100582236,0.29461934046238786
22.0,0.16266226741560488,0.18307522982787822,0.17352150856220766,0.1589512850500823,0.2534299263610596
32.0,0.1956569642243913,0.19539368764704354,0.19298859272519567,0.16984930195241413,0.16354825347127933
42.0,0.10561382449763455,0.07961410717537082,0.08476279145528834,0.07304456026896214,0.08792586393060176
52.0,0.012193567815488318,-0.013989052520661634,0.05968106936704013,0.028465323478592108,-0.02904824886742485
62.0,0.16847252775936636,0.1570748596098791,0.17768650825915233,0.1292695615978262,0.22307232782506617
3.0,0.15075075427740559,0.15569576791891604,0.17113785948628665,0.10495585040078456,0.22271525832168187
13.0,0.09934707509986014,0.07421872694152118,0.10380422251505796,0.07043765351143033,0.10378180377335283
23.0,0.23613610133104324,0.23741629627261815,0.2477090548853905,0.20892988174720095,0.3242753798440404
33.0,0.09497414836145852,0.07902678725215026,0.08682188187484381,0.09459068294173023,0.0824691763695594
