sub,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
61,0.4868026236909091,0.0065895356258133,0.9867124252023936,0.9737733391228832,0.9836345329708868,1.0,0.9342789952415692,0.8766637713529387,0.9180301482944072,0.9727833083196792,0.6587215500815671,0.6708707528488163,0.7335407880654616,0.7780099257581211,0.7505314225871292,20.772282163356376,15.351815675225929,1.3530830882028992,2.913752913752913,2.301864801864802,0.7575757575757576,0.0,0.0
23,0.1360553118290909,0.0020767163482954,0.9955606146841208,0.9911604714415232,0.9942824725613628,1.0,0.917372744396518,0.8473578876278641,0.8977265773593133,0.967118652033934,0.7625672943466923,0.7629513161191293,0.8114447584118368,0.8129097988386365,0.7871690595592516,41.50887895423659,34.65749966504967,1.1976882162707252,0.654940119760479,0.5988023952095809,0.2619760479041916,0.0,0.0
28,0.1759577275727272,0.0050769190374192,0.99637943519189,0.9927849927849928,0.9952685148598472,1.0,0.9230786291574624,0.8571457992659991,0.9044247797498716,0.9677309845793264,0.7750291361555764,0.7751970260821625,0.8227993357640924,0.8093193969076584,0.762814929994318,37.4933019382077,31.558445373185734,1.1880592182168972,0.3102189781021898,0.291970802919708,0.1094890510948905,0.0,0.0
3,0.1681826544612552,0.0027963782074596,0.9972887483054677,0.9945921586300136,0.996496489962588,1.0,0.9242156566822322,0.8591086702674154,0.9059290933295217,0.9696499757833166,0.7579616063928953,0.7572295247222409,0.8033376009931141,0.8014723407948394,0.7360931458497436,71.75998841358758,62.15348693190733,1.154560941885766,0.4812141402924301,0.4812141402924301,0.1850823616509346,0.0,0.0
8,0.2383653089545454,0.0015147492282262,0.995394337534364,0.9908309048262136,0.9939587283449052,1.0,0.9168224865486102,0.846419423559936,0.8978132601083254,0.974080981431222,0.7806450803499234,0.783004218414649,0.8188260339268723,0.8138812502097528,0.7647694369887656,46.22645728647077,38.12896097015844,1.2123712818361303,0.274323335771763,0.2377468910021946,0.1280175566934893,0.0,0.0
59,0.1688266822727272,0.0046558166481154,0.9994856984610516,0.9989719256623172,0.9993437736315484,1.0,0.9358076379563068,0.8793594760999468,0.9196144138161688,0.9697613287005876,0.7639153372046891,0.7652119372280488,0.8271674804290495,0.8174265998450732,0.7500883239759649,33.75841763814694,29.53805443800084,1.1428788483345935,0.9906019812039624,0.9144018288036576,0.3302006604013208,0.0,0.0
34,0.3596834118181817,0.0037022581581766,0.9874423269809428,0.9751961328155956,0.984159281158487,1.0,0.9406921733329824,0.8880253214901233,0.9258060300489764,0.9748230885375926,0.5876911736961687,0.5963588234457436,0.6806046242899246,0.6656303434593096,0.5927920384848487,32.420775368851835,27.16501280355659,1.193475431184304,1.9565881993274228,1.55915622133904,0.6114338122898196,0.0,0.0
39,0.2394870675090909,0.0026848206780243,0.999829001367989,0.999658061207044,0.999786171985309,1.0,0.9467974801557912,0.8989700103412617,0.933052674768974,0.973525775412568,0.7471355555986718,0.7481741568331386,0.7959222627209833,0.8066407815569505,0.7571117454387133,21.412064701149408,18.03694622305405,1.1871225004696984,1.062573789846517,0.9445100354191264,0.4132231404958678,0.0,0.0
60,0.2315353478414545,0.0038309647080083,0.9989024015454188,0.997807209893869,0.99863725697693,1.0,0.9608942387414672,0.9247318940640478,0.9503111797777192,0.9736981864721092,0.7549694516434488,0.7595003844180107,0.805074462845458,0.7835018196273917,0.6957084455743647,45.07442714778231,44.80793151253663,1.005947510323504,0.7751937984496124,0.7077856420626896,0.2696326255476913,0.0,0.0
40,0.5919907964745454,0.0037547081946038,0.9999614895829322,0.9999229821318546,0.9999504738322108,1.0,0.9346594296666948,0.8773339302888602,0.9186741033169312,0.9751909979817344,0.7634302515772001,0.7629405198644552,0.8407938117856497,0.8175876540213405,0.7763705476223266,34.71152234509745,29.17501935839112,1.1897686139877044,0.4562920268972142,0.4803073967339097,0.0960614793467819,0.0,0.0
