Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,IntendedForKey08,IntendedForKey09,IntendedForKey10,IntendedForKey11,IntendedForKey12,IntendedForKey13,IntendedForKey14,IntendedForKey15,IntendedForKey16,IntendedForKey17,IntendedForKey18,IntendedForKey19,IntendedForKey20,IntendedForKey21,IntendedForKey22,IntendedForKey23,IntendedForKey24,IntendedForKey25,IntendedForKey26,IntendedForKey27,IntendedForKey28,IntendedForKey29,IntendedForKey30,IntendedForKey31,IntendedForKey32,IntendedForKey33,IntendedForKey34,IntendedForKey35,IntendedForKey36,IntendedForKey37,IntendedForKey38,IntendedForKey39,IntendedForKey40,IntendedForKey41,IntendedForKey42,IntendedForKey43,IntendedForKey44,IntendedForKey45,IntendedForKey46,IntendedForKey47,IntendedForKey48,IntendedForKey49,IntendedForKey50,IntendedForKey51,IntendedForKey52,IntendedForKey53,MultibandAccelerationFactor,NSliceTimes,NumberOfVolumesDiscardedByScanner,NumberOfVolumesDiscardedByUser,ParallelAcquisitionTechnique,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,SliceEncodingDirection,TotalReadoutTime,VolumeTiming
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__13,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,13,1,1.80E-06,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.3,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__14,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,14,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.6,,0.0338665,
Dominant Group,,,,acquisition-gre_suffix-asl_task-rest__1,acquisition-gre_suffix-asl_task-rest,1,181,,0.015,0.000399995,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4,,0.0379995,
Variant TR,,,acquisition-greVariantTr_suffix-asl_task-rest,acquisition-gre_suffix-asl_task-rest__2,acquisition-gre_suffix-asl_task-rest,2,1,,0.015,0.000399995,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4.34,,0.0379995,
Variant Flip Angle,,,acquisition-greVariantFlipAngle_suffix-asl_task-rest,acquisition-gre_suffix-asl_task-rest__3,acquisition-gre_suffix-asl_task-rest,3,1,,0.015,0.000399995,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4,,0.0379995,
Variant TR,,,acquisition-greVariantTr_suffix-asl_task-rest,acquisition-gre_suffix-asl_task-rest__4,acquisition-gre_suffix-asl_task-rest,4,1,,0.015,0.000399995,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4.15,,0.0379995,
Variant TR,,,acquisition-greVariantTr_suffix-asl_task-rest,acquisition-gre_suffix-asl_task-rest__5,acquisition-gre_suffix-asl_task-rest,5,1,,0.015,0.000399995,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4.11,,0.0379995,
Dwell Time,,1,,acquisition-gre_suffix-asl_task-rest__6,acquisition-gre_suffix-asl_task-rest,6,2,2.00E-06,0.015,0.000399995,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.75,j-,4,,0.0379995,
unclear how dif?,,3,,acquisition-gre_suffix-m0scan_task-rest__1,acquisition-gre_suffix-m0scan_task-rest,1,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,20,,0.0327753,
unclear how dif?,,3,,acquisition-gre_suffix-m0scan_task-rest__2,acquisition-gre_suffix-m0scan_task-rest,2,54,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,20,,0.0327753,
