sub,SCBF,BASIL,SCRUB,PVCGM,PVCWM
8.0,45.886329650878906,41.172157287597656,44.32612991333008,48.616851806640625,46.63028335571289
18.0,67.95274353027344,61.10772705078125,65.11869049072266,71.83290100097656,67.18477630615234
28.0,36.75603103637695,33.2131462097168,35.756771087646484,38.51492691040039,37.340946197509766
38.0,39.35860824584961,36.227787017822266,37.949913024902344,43.800846099853516,36.41192626953125
48.0,37.363277435302734,33.49757385253906,35.47966384887695,43.02326202392578,33.93661117553711
58.0,36.37273025512695,33.444583892822266,34.89661407470703,39.60542678833008,37.42445373535156
9.0,59.57271194458008,53.00205993652344,57.426204681396484,62.29533004760742,58.54206848144531
19.0,41.975894927978516,37.956295013427734,40.77771759033203,42.951805114746094,41.633079528808594
29.0,60.07347106933594,54.04457092285156,58.21424865722656,66.47799682617188,61.182498931884766
39.0,21.707351684570312,19.527027130126953,20.577533721923828,23.74392318725586,21.143375396728516
49.0,35.76681137084961,32.29872512817383,34.732295989990234,38.57215118408203,33.71488571166992
59.0,34.60588836669922,30.977479934692383,33.09540939331055,36.52299880981445,33.361820220947266
10.0,46.89048385620117,41.77400588989258,44.843196868896484,48.09662628173828,47.47125244140625
20.0,60.45724105834961,54.35643005371094,58.41142654418945,64.25379180908203,62.4384651184082
30.0,65.32550811767578,58.51356887817383,63.70307159423828,69.34817504882812,64.34186553955078
40.0,35.19756317138672,31.73988151550293,34.09393310546875,37.703922271728516,33.54037094116211
50.0,29.493999481201172,27.237668991088867,28.555715560913086,33.04065704345703,27.631778717041016
60.0,48.0146369934082,43.78541564941406,46.47527313232422,51.52815628051758,50.17007827758789
1.0,46.70484924316406,42.502017974853516,45.37321090698242,49.59109115600586,46.98064422607422
11.0,53.123191833496094,48.05824661254883,51.727149963378906,57.47160339355469,51.8327751159668
21.0,55.17448425292969,50.21534729003906,53.557865142822266,59.67941665649414,56.930274963378906
31.0,60.655826568603516,54.025169372558594,58.979881286621094,63.91416549682617,63.74791717529297
41.0,35.087825775146484,31.713346481323242,33.76697540283203,37.9041633605957,35.64041519165039
51.0,26.181337356567383,23.066009521484375,24.523616790771484,27.809911727905273,23.349597930908203
61.0,21.2347354888916,18.175188064575195,20.570894241333008,21.668825149536133,17.595104217529297
2.0,55.58674621582031,50.006717681884766,53.59654235839844,57.78252029418945,55.75883865356445
12.0,54.52006149291992,49.12470626831055,52.179100036621094,58.76299285888672,54.722015380859375
22.0,28.49180793762207,25.964893341064453,27.743993759155273,29.877294540405273,28.5472469329834
32.0,51.50347137451172,46.881282806396484,50.10091018676758,55.786521911621094,49.849056243896484
42.0,32.19490051269531,29.189067840576172,31.273101806640625,35.49723815917969,32.47455596923828
52.0,27.038606643676758,24.44826316833496,25.40831756591797,28.988372802734375,27.155641555786133
62.0,41.41259765625,37.66401672363281,39.92337417602539,43.8125114440918,43.14347457885742
3.0,71.98990631103516,64.77037048339844,69.11693572998047,75.0003662109375,73.38909149169922
13.0,50.597373962402344,45.32832717895508,49.52470779418945,52.63644027709961,50.690391540527344
23.0,40.920536041259766,37.02137756347656,39.702125549316406,41.16470718383789,41.6441535949707
33.0,28.930561065673828,26.140579223632812,27.298263549804688,30.076292037963867,29.084640502929688
43.0,37.98448944091797,33.84349060058594,36.128021240234375,42.6304931640625,32.16285705566406
53.0,25.76096534729004,23.00587272644043,24.742687225341797,27.15814971923828,24.518754959106445
63.0,33.40911865234375,30.696006774902344,32.12928771972656,39.033294677734375,32.33218765258789
4.0,52.153709411621094,47.071311950683594,49.8608283996582,54.50870132446289,48.451271057128906
14.0,56.25792694091797,50.85053253173828,54.8571891784668,57.66598892211914,55.54584884643555
24.0,40.865421295166016,36.752559661865234,39.698917388916016,42.46492004394531,41.29879379272461
34.0,33.611183166503906,29.603221893310547,31.82978057861328,38.18959045410156,29.533594131469727
44.0,38.06626892089844,34.938682556152344,35.86871337890625,43.11272430419922,39.254417419433594
54.0,31.69300079345703,29.126953125,30.238454818725586,35.5792236328125,33.034202575683594
5.0,57.927730560302734,52.44136428833008,55.992855072021484,62.81943893432617,57.91530990600586
15.0,43.03707504272461,38.62155532836914,41.459625244140625,45.04744338989258,42.83110809326172
25.0,59.25657653808594,52.855220794677734,57.72157287597656,60.011131286621094,58.526248931884766
35.0,26.451404571533203,24.02577781677246,24.699827194213867,29.838069915771484,27.14960479736328
45.0,30.618511199951172,28.034107208251953,29.407970428466797,33.558197021484375,29.126754760742188
55.0,16.86060333251953,15.0137939453125,16.033248901367188,17.89230728149414,14.432289123535156
6.0,49.311279296875,44.30376052856445,47.73082733154297,51.785953521728516,47.53063201904297
16.0,51.77400207519531,46.36188507080078,50.00509262084961,54.34678649902344,49.54299545288086
26.0,46.37272262573242,41.61859893798828,45.15742874145508,48.468650817871094,42.08811950683594
36.0,33.952003479003906,30.790098190307617,32.77974319458008,37.03375244140625,31.117847442626953
46.0,27.032501220703125,24.825124740600586,26.923460006713867,32.20884704589844,23.76036834716797
56.0,27.097097396850586,25.2983341217041,25.36648178100586,30.595415115356445,23.842844009399414
7.0,46.85869216918945,41.846336364746094,45.30724334716797,49.73775863647461,44.62784194946289
17.0,41.97547912597656,38.08415985107422,40.57651901245117,44.796268463134766,42.04143524169922
27.0,56.418941497802734,51.47220230102539,54.15044021606445,60.3786506652832,57.54145431518555
37.0,35.78303909301758,32.39536666870117,33.48857498168945,38.268714904785156,33.21086883544922
47.0,33.27774429321289,29.93154525756836,32.355621337890625,37.17268371582031,32.02862548828125
57.0,47.95546340942383,43.702484130859375,46.270713806152344,52.77685546875,45.8298454284668
