scanid,oldpnc
2894,5.052892925699275
2643,7.627927966414891
2637,6.470346311198686
3016,6.532078378540338
2648,3.929852860029467
6635,7.127021997265174
3145,6.847510185008706
2794,6.434875926766675
7390,7.156925414931877
2798,3.3365682495850106
2726,5.183259528929709
3013,5.208398462093786
2823,6.426240861187498
3476,5.863574658195417
2725,4.736185890183548
2821,7.3509024656149276
2647,7.404015832697658
2739,5.98573745295536
3844,3.523389136323143
9652,
3369,7.7446091534125925
2646,5.708701678985881
2675,5.280410695016086
3437,5.957770104969942
2753,3.6351706391307292
2632,6.545690807281524
2644,7.187628452291469
2750,7.337118595552672
3724,7.916351182186756
2653,7.156036951920763
3427,5.275568158280861
3184,6.992439571870273
5901,4.323962100547159
2738,4.6133588582543155
3742,6.860228961506947
3141,7.32528179989341
9665,
7819,3.5072978500195973
6851,7.280251797284889
6563,3.720287645101509
6491,7.816953617324114
3179,5.197381579878432
6869,7.571468280715902
2793,5.809575617943447
2752,3.867548233405544
2720,7.825203156914448
2855,4.298797564309569
2818,6.346849078449683
2995,5.512481759751393
6312,5.282250466457912
6726,3.4719196536462174
2740,7.314661333583537
3085,7.506956498183967
2682,7.0252987338135515
3076,7.543390127776117
6728,3.6319215841213954
6666,5.160876923635335
2749,4.305568964168922
6584,5.0410819676926275
2751,5.109587618313088
2723,6.420915778393506
2727,4.901004538009731
6184,6.674081079147622
4763,7.035173329896499
2825,4.523683595623242
3112,6.479326525625348
2856,8.11129509869191
3118,5.757374320876142
6629,6.8291743839368095
4411,6.002064515234691
5712,7.657000900857372
3043,6.606658189663568
3370,4.631637903006352
6552,5.530027728567344
3309,3.3534611374200365
6619,7.099869712567543
2706,5.3442531387258345
3325,6.567939899476307
3297,6.634863040316789
4481,6.147957859774358
6815,7.179446331629594
2952,7.593035828600874
2906,4.971570486417909
6565,4.5944506271172
6675,5.401442421399551
2728,5.090823212941912
4335,7.094429463670807
3677,7.272166495834714
3036,4.232313962527674
3404,7.728525694636183
3033,3.0916342995955777
3020,7.302663677151942
8220,6.372850414503591
3433,6.739617657304496
4654,7.3012972352751415
3488,7.585026871691569
3211,3.283614144605625
3038,7.6477990542911165
2971,4.622479784788742
2905,4.731899962552025
3125,5.9393584795342775
9934,
3201,7.768137083307464
4887,4.3995768982993715
3340,5.940067255940464
2902,7.6399946310923035
6532,4.282717217346453
2967,3.8266131894712982
4498,6.349372992565811
5797,5.741017576895818
2911,5.86526941861584
6603,8.23530199588108
2792,5.991296552174159
2795,5.09420963046116
2899,4.682232982590172
6764,3.9050018845946406
3138,6.029062270377936
6582,7.057917134123926
7288,6.152903325463971
2854,7.354033340525409
3045,7.724679389464093
6806,6.602223846335239
2963,4.525663801239242
2796,2.5024772973860827
6723,7.585985090580266
3075,5.528283717611869
5853,7.233872510303428
2822,7.069080756089035
