scanid,cbf,scrub,basil,pvc
2894,5.782317717579401,5.9887852487478686,9.149855353991553,13.288173175145841
2643,6.733574267500502,6.952268769289986,9.82525241699006,11.61763509699162
2637,5.484061253288319,5.631168985952182,7.943851036820894,10.528907676167183
3016,6.245830043581688,6.215335613855857,9.801711536368039,14.613881693936156
2648,5.265160494397704,5.325229497169391,8.373819061159914,12.694085979880064
6635,6.5434501267132115,6.69891248212784,9.067470421221694,14.257679365529683
3145,6.760795931210091,7.119542919482125,9.202657807410723,11.986120532149327
2794,5.570982596237576,5.736727978357672,8.851013103133363,12.152425486860599
7390,6.0355465245331725,6.326032104043639,9.534454666774025,12.792835932537782
2798,5.749148704476637,5.897509494813495,7.938692070314074,11.11275344473373
2726,6.30497375773998,6.628028303564445,8.806522579811231,11.976852787572188
3013,4.946261969595101,5.422068316918578,7.816862966919023,10.165407737366447
2823,6.49292980534497,6.566076719944428,8.890960871772021,12.840259684243422
3476,6.077183801143544,6.2428822689425,8.931050739976033,11.855351534817968
2725,5.912343266659519,6.305409411794507,8.889737710064258,11.529192760928904
2821,6.227069542705996,6.45354965965003,9.135996438104177,12.10838543040892
2647,5.644635873220221,5.832840445585176,9.071523438606679,11.849045311860898
2739,5.605116389103764,5.749144639648952,8.112127904565249,9.785312818541096
3844,6.041497015280672,6.231185278517977,8.977846934085857,12.42419476654979
9652,,,,
3369,6.217901868337374,6.387473998758279,8.977752018575265,11.791878961408708
2646,5.919789097809913,5.9127690126478445,8.44595785297563,12.765441949315369
2675,5.888820949382504,6.035113685263615,8.429508686927456,11.839049912871555
3437,5.630071632113207,5.604287460857425,7.897681983071017,10.856096932287153
2753,6.732738194358491,6.978315480840314,9.57146272604914,13.132391163347707
2632,5.833950119409525,5.809774682989058,9.034693171910876,11.274369037689704
2644,6.018952157346861,6.125179573256562,9.0943544644648,11.502965378577436
2750,5.266510918204158,5.585375062559584,9.070460516442655,12.482760587944949
3724,5.850106579117576,6.240844664232088,8.633921575607127,10.189615926821508
2653,,,,
3427,5.827903219183177,6.0238806467027555,8.52954890678963,10.250887214846545
3184,6.4619960530905125,6.628007277155711,8.41041633869738,11.17044665516352
5901,4.896850835487658,5.093248913931291,7.5867158682442035,11.007006885396741
2738,6.30750008179854,6.535236743865212,8.697249877223667,10.48134363391253
3742,5.923369408991343,5.994497882495199,8.678348287665447,12.540969400692262
3141,5.700960372874318,5.949730866888825,7.714267995593481,10.028098471826715
9665,,,,
7819,5.4178493604847064,5.651796653578986,9.793245173246053,12.70029251362892
6851,6.338506230323632,6.859039852589746,9.617589985241393,11.253442977542756
6563,5.45649014485775,5.575560608819526,9.027439230567953,12.663824572607432
6491,5.955633160796509,6.113871042799233,8.720767493576401,10.670306606868142
3179,6.197275419556622,6.266253128572839,8.57388007939218,11.041805841507133
6869,5.990400918320693,6.162064425983105,8.97174823900433,10.761695677208655
2793,6.104887592222591,6.38969646370476,8.594872979901211,10.324319669464098
2752,5.979544555859888,6.1329355951501485,9.4254240728217,12.440921426284778
2720,6.217989403252537,6.193289887372953,9.933397158380096,12.464911757349014
2855,5.686869168211268,5.776241773425518,9.787353898139097,13.35612539184936
2818,5.08485777569808,5.207818322317558,8.36065719476064,12.53295430735783
2995,5.790682550404826,6.417537207125397,10.101894595752286,15.138638819259498
6312,5.393762631836511,5.361093690993029,7.843437642379336,10.939389944394833
6726,6.274757187073678,6.6897147442563085,8.480157842940368,10.65264323003063
2740,6.017658481352665,6.238760268082792,8.674848871497787,11.723631582014994
3085,5.518512003231572,5.907783166666688,8.226449753807737,10.572754400734468
2682,6.458384126326919,6.78231769813201,8.796793421496572,10.076635076668724
3076,6.701918228907755,6.881702932651762,8.919638971048899,11.086320253216497
6728,5.293810725058743,5.24668416910087,8.48483291946575,12.594000088347174
6666,5.887071870494094,6.115705858428965,9.50262945671653,13.171014420478048
2749,5.399954727448278,5.761418769025439,7.866339747238479,9.938962521946166
6584,6.034079523542855,5.994674640407454,8.738112675345976,11.733964476163216
2751,6.077382365341917,6.241024604267402,8.320588208638133,10.985224210084477
2723,5.918849097441075,6.25024902793053,8.60175781263281,10.431607510673489
2727,5.297386255179738,5.271316893450034,9.472029539787181,13.326252677370501
6184,5.160501767614307,5.4863588398566305,8.406761709149693,12.617267463569279
4763,6.305346208768837,6.585633714155495,9.222279594266283,12.220899517548874
2825,6.34688453296678,6.456048074809832,9.097549054927745,12.824816198687328
3112,6.442632038769524,6.718693952044488,8.942880982023913,11.936429221976333
2856,6.484329792125727,6.653046475343337,9.311475304883333,12.296040417720507
3118,5.993315211947181,6.332526245446993,8.422477752132325,11.181616689279341
