scanid,oldpnc,cbf,scrub,basil,pvc
2894.0,5.052892925699275,5.782317717579401,5.9887852487478686,9.149855353991551,13.28817317514584
2643.0,7.627927966414891,6.733574267500502,6.952268769289986,9.82525241699006,11.61763509699162
2637.0,6.470346311198686,5.484061253288319,5.631168985952182,7.943851036820894,10.528907676167185
3016.0,6.532078378540338,6.245830043581688,6.215335613855857,9.80171153636804,14.613881693936156
2648.0,3.929852860029467,5.265160494397704,5.325229497169391,8.373819061159914,12.694085979880064
6635.0,7.127021997265174,6.543450126713212,6.69891248212784,9.067470421221694,14.257679365529684
3145.0,6.847510185008706,6.760795931210091,7.119542919482125,9.202657807410723,11.986120532149329
2794.0,6.434875926766675,5.570982596237576,5.736727978357672,8.851013103133363,12.1524254868606
7390.0,7.156925414931877,6.0355465245331725,6.326032104043639,9.534454666774025,12.792835932537782
2798.0,3.33656824958501,5.749148704476637,5.897509494813495,7.938692070314074,11.11275344473373
2726.0,5.183259528929709,6.30497375773998,6.628028303564445,8.806522579811231,11.976852787572188
3013.0,5.208398462093786,4.946261969595101,5.422068316918578,7.816862966919023,10.165407737366449
2823.0,6.426240861187498,6.49292980534497,6.566076719944428,8.890960871772021,12.840259684243422
3476.0,5.863574658195417,6.077183801143544,6.2428822689425,8.931050739976033,11.855351534817968
2725.0,4.736185890183548,5.912343266659519,6.305409411794507,8.889737710064258,11.529192760928904
2821.0,7.350902465614927,6.227069542705996,6.45354965965003,9.135996438104176,12.10838543040892
2647.0,7.404015832697658,5.644635873220221,5.832840445585176,9.07152343860668,11.849045311860898
2739.0,5.98573745295536,5.605116389103764,5.749144639648952,8.112127904565249,9.785312818541096
3844.0,3.523389136323143,6.041497015280672,6.231185278517977,8.977846934085857,12.42419476654979
3369.0,7.744609153412592,6.217901868337374,6.387473998758279,8.977752018575265,11.791878961408708
2646.0,5.708701678985881,5.919789097809913,5.9127690126478445,8.44595785297563,12.765441949315369
2675.0,5.280410695016086,5.888820949382504,6.035113685263615,8.429508686927456,11.839049912871555
3437.0,5.957770104969942,5.630071632113207,5.604287460857425,7.897681983071017,10.856096932287151
2753.0,3.635170639130729,6.732738194358491,6.978315480840314,9.57146272604914,13.132391163347709
2632.0,6.545690807281524,5.833950119409525,5.809774682989058,9.034693171910876,11.274369037689704
