sub-10R01648,ses-20170214
sub-01801135,ses-20160114
sub-03501082,ses-20170123
sub-03501704,ses-20170322
sub-03501704,ses-20171027
sub-10R01007,ses-20150603
sub-10R01007,ses-20160511
sub-10R01657,ses-20170329
sub-01801333,ses-20160419
sub-03501088,ses-20171120
sub-03501711,ses-20170328
sub-10R01008,ses-20150603
sub-10R01008,ses-20160511
sub-10R01658,ses-20170308
sub-01801816,ses-20170719
sub-03501089,ses-20161118
sub-03501712,ses-20180403
sub-10R01013,ses-20150709
sub-10R01663,ses-20170411
sub-02101009,ses-20180222
sub-03501101,ses-20170131
sub-03501723,ses-20170411
sub-10R01014,ses-20150429
sub-10R01686,ses-20170404
sub-02101056,ses-20180427
sub-03501117,ses-20161020
sub-03501724,ses-20170420
sub-10R01015,ses-20150508
sub-10R01693,ses-20170517
sub-02101057,ses-20180427
sub-03501130,ses-20180116
sub-03501731,ses-20170417
sub-10R01016,ses-20150521
sub-10R01705,ses-20170418
sub-02101087,ses-20180329
sub-03501138,ses-20170406
sub-03501740,ses-20170501
sub-10R01017,ses-20150521
sub-10R01706,ses-20170420
sub-02101106,ses-20180427
sub-03501139,ses-20170405
sub-03501741,ses-20170502
sub-10R01020,ses-20150610
sub-10R01717,ses-20170504
sub-02101107,ses-20170302
sub-03501140,ses-20170406
sub-03501758,ses-20170518
sub-10R01021,ses-20150610
sub-10R01719,ses-20170502
sub-02101122,ses-20180820
sub-03501146,ses-20170109
sub-03501759,ses-20170517
sub-10R01022,ses-20150611
sub-10R01022,ses-20160714
sub-10R01729,ses-20170621
sub-02101215,ses-20180308
sub-03501148,ses-20161213
sub-03501775,ses-20170601
sub-10R01023,ses-20150611
sub-10R01730,ses-20170621
sub-02101307,ses-20190517
sub-03501154,ses-20170206
sub-03501779,ses-20170601
sub-10R01025,ses-20150611
sub-10R01747,ses-20170705
sub-02101332,ses-20180920
sub-03501165,ses-20170721
sub-03501781,ses-20170530
sub-10R01031,ses-20150528
sub-10R01751,ses-20170629
sub-02101411,ses-20181121
sub-03501170,ses-20170523
sub-03501789,ses-20170614
sub-10R01032,ses-20160913
sub-10R01754,ses-20170710
sub-02101445,ses-20180824
sub-03501174,ses-20170130
sub-03501796,ses-20170620
sub-10R01039,ses-20150708
sub-10R01039,ses-20160504
sub-10R01755,ses-20170629
sub-02101536,ses-20181218
sub-03501176,ses-20161114
sub-03501799,ses-20170825
sub-10R01044,ses-20160805
sub-10R01760,ses-20170628
sub-02101694,ses-20180306
sub-03501177,ses-20161121
sub-03501801,ses-20170627
sub-10R01054,ses-20150715
sub-10R01764,ses-20170804
sub-02101695,ses-20180306
sub-03501188,ses-20161207
sub-03501821,ses-20170711
sub-10R01055,ses-20150716
sub-10R01765,ses-20170726
sub-02101769,ses-20180720
sub-03501203,ses-20161212
sub-03501824,ses-20170719
sub-10R01059,ses-20160706
sub-10R01766,ses-20170727
sub-02101806,ses-20180807
sub-03501204,ses-20161212
sub-03501833,ses-20171026
