std_dvars	dvars	framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
2.509227	80.455376	0.21611450000000007	0.599238	-0.376875	-1.17013	-0.00302117	-0.00425034	0.0018681
2.422601	77.67782599999998	0.14726099999999992	0.552471	-0.400262	-1.12418	-0.00290046	-0.0037759	0.00189609
2.510358	80.491646	0.17322150000000003	0.601028	-0.378501	-1.17134	-0.00245113	-0.00437904	0.00195849
2.468535	79.150665	0.24796350000000017	0.544912	-0.390844	-1.06954	-0.00280162	-0.00327548	0.00185845
2.683813	86.053284	0.15376650000000025	0.602232	-0.365418	-1.10807	-0.00289951	-0.00370384	0.00198201
2.975736	95.413467	0.12947000000000003	0.560439	-0.354805	-1.08037	-0.00330631	-0.00339843	0.00170694
3.253755	104.327812	0.13805849999999983	0.598754	-0.365642	-1.09231	-0.00251013	-0.00384399	0.00200453
3.435343	110.150208	0.09695050000000008	0.572251	-0.368631	-1.11425	-0.00224643	-0.00347023	0.00173162
3.645821	116.898918	0.054763999999999834	0.59381	-0.363707	-1.10407	-0.00229242	-0.00359633	0.00192155
3.556212	114.025719	0.05067300000000007	0.565071	-0.373177	-1.10042	-0.00221666	-0.00352387	0.00189349
2.91192	93.367279	0.089118	0.594577	-0.349683	-1.08439	-0.00255095	-0.00349622	0.00193331
2.587495	82.964951	0.06389050000000014	0.564668	-0.341308	-1.09731	-0.0025384	-0.00356721	0.00176312
2.694945	86.410217	0.208527	0.621118	-0.348371	-1.14316	-0.0014924	-0.00416449	0.00210312
2.61588	83.875084	0.21352049999999984	0.559579	-0.353042	-1.08463	-0.00200937	-0.00349349	0.00151548
2.976718	95.444946	0.12740050000000003	0.60145	-0.339199	-1.09612	-0.00163008	-0.003979	0.00185461
3.72076	119.30175	0.14969899999999997	0.580111	-0.337958	-1.05481	-0.00261304	-0.00348622	0.00161417
3.092451	99.155785	0.10704399999999986	0.609933	-0.313812	-1.07453	-0.00296345	-0.00371082	0.00170628
3.08858	99.031647	0.11076649999999992	0.582459	-0.335649	-1.07108	-0.0020228	-0.00367385	0.00152379
3.06133	98.157921	0.09419099999999997	0.607367	-0.340845	-1.1017	-0.00227348	-0.00396477	0.00165153
2.926794	93.84417	0.09625299999999987	0.579136	-0.345807	-1.07884	-0.0018623	-0.00368377	0.00153971
3.651984	117.096542	0.1046110000000001	0.590608	-0.331011	-1.02826	-0.00233855	-0.00369973	0.00160276
3.717667	119.202576	0.10345799999999997	0.577364	-0.315376	-1.01241	-0.00272401	-0.00319792	0.00131545
3.543331	113.612701	0.157315	0.608518	-0.308758	-1.06806	-0.00227566	-0.00391704	0.00142584
3.542164	113.575279	0.07430549999999998	0.593041	-0.314507	-1.05433	-0.00196479	-0.00358543	0.00128133
3.757385	120.47612	0.04471650000000012	0.606543	-0.314476	-1.05855	-0.00208363	-0.00366724	0.00161995
3.636668	116.605446	0.07741500000000001	0.608044	-0.324601	-1.01946	-0.00173658	-0.00355965	0.00169929
3.45981	110.934731	0.2716334999999999	0.674624	-0.289119	-0.932463	-0.00216558	-0.00290003	0.00226216
3.351033	107.446899	0.10526649999999996	0.631337	-0.276668	-0.928382	-0.00211653	-0.00301152	0.00151375
3.446186	110.497879	0.09648249999999993	0.656412	-0.274434	-0.961685	-0.00249537	-0.00330959	0.00155425
3.478203	111.52446	0.07640199999999998	0.627764	-0.270807	-0.9592020000000001	-0.00208505	-0.00326105	0.00118023
3.457839	110.871498	0.07943300000000006	0.648684	-0.291563	-0.946703	-0.00227924	-0.00326824	0.00148401
3.507462	112.462624	0.08392900000000003	0.632468	-0.288158	-0.9581980000000001	-0.00175512	-0.00299928	0.00122083
3.552618	113.910492	0.07464749999999992	0.642852	-0.291657	-0.978695	-0.00174487	-0.00349789	0.00151732
3.407393	109.254021	0.08233849999999998	0.619471	-0.288263	-0.938271	-0.00163488	-0.00351645	0.00134308
3.44649	110.507614	0.155169	0.642656	-0.256757	-0.974834	-0.0024906	-0.00311436	0.00132259
3.146197	100.879066	0.1348354999999999	0.599476	-0.275242	-0.961369	-0.00180638	-0.00340468	0.00110302
2.900443	92.999283	0.14885949999999995	0.637762	-0.288742	-1.00372	-0.00146331	-0.00377857	0.00148051
3.238249	103.830605	0.13807150000000004	0.60432	-0.281128	-0.963106	-0.00160748	-0.00322227	0.00105295
3.441706	110.354225	0.11930950000000003	0.642475	-0.256854	-0.955943	-0.00219155	-0.00337828	0.00130722
3.351197	107.452164	0.08722949999999999	0.608001	-0.253023	-0.927069	-0.00200018	-0.003502	0.0012213
2.912584	93.388542	0.1228655	0.642769	-0.253557	-0.98445	-0.00165101	-0.0033369	0.00113192
